PHOENIX module psth; 10/31/16 at 12:16:51 -07:00
temperature (K),vibrational kinetic energy (meV/atom),error of vibrational kinetic energy (meV/atom)
 1.15004E+03, 4.98713E+01, 2.66460E-02
 1.16004E+03, 5.02994E+01, 2.68743E-02
 1.17004E+03, 5.07276E+01, 2.71028E-02
 1.18004E+03, 5.11558E+01, 2.73312E-02
 1.19004E+03, 5.15840E+01, 2.75596E-02
 1.20004E+03, 5.20123E+01, 2.77881E-02
 1.21004E+03, 5.24406E+01, 2.80166E-02
 1.22004E+03, 5.28690E+01, 2.82452E-02
 1.23004E+03, 5.32974E+01, 2.84737E-02
 1.24004E+03, 5.37258E+01, 2.87023E-02
 1.25004E+03, 5.41543E+01, 2.89309E-02
 1.26004E+03, 5.45828E+01, 2.91596E-02
 1.27004E+03, 5.50114E+01, 2.93882E-02
 1.28004E+03, 5.54399E+01, 2.96169E-02
 1.29004E+03, 5.58686E+01, 2.98456E-02
 1.30004E+03, 5.62972E+01, 3.00743E-02
 1.31003E+03, 5.67259E+01, 3.03030E-02
 1.32003E+03, 5.71546E+01, 3.05318E-02
 1.33003E+03, 5.75834E+01, 3.07605E-02
 1.34003E+03, 5.80122E+01, 3.09893E-02
 1.35003E+03, 5.84410E+01, 3.12181E-02
 1.36003E+03, 5.88698E+01, 3.14470E-02
 1.37003E+03, 5.92987E+01, 3.16758E-02
 1.38003E+03, 5.97276E+01, 3.19047E-02
 1.39003E+03, 6.01566E+01, 3.21335E-02
 1.40003E+03, 6.05855E+01, 3.23624E-02
 1.41003E+03, 6.10145E+01, 3.25913E-02
 1.42003E+03, 6.14435E+01, 3.28203E-02
 1.43003E+03, 6.18726E+01, 3.30492E-02
 1.44003E+03, 6.23016E+01, 3.32782E-02
 1.45003E+03, 6.27307E+01, 3.35071E-02
 1.46003E+03, 6.31598E+01, 3.37361E-02
 1.47003E+03, 6.35889E+01, 3.39651E-02
 1.48003E+03, 6.40181E+01, 3.41941E-02
 1.49003E+03, 6.44473E+01, 3.44232E-02
 1.50003E+03, 6.48765E+01, 3.46522E-02
 1.51002E+03, 6.53057E+01, 3.48813E-02
 1.52002E+03, 6.57350E+01, 3.51103E-02
 1.53002E+03, 6.61642E+01, 3.53394E-02
 1.54002E+03, 6.65935E+01, 3.55685E-02
 1.55002E+03, 6.70228E+01, 3.57976E-02
 1.56002E+03, 6.74521E+01, 3.60267E-02
 1.57002E+03, 6.78815E+01, 3.62558E-02
