PHOENIX module psth; 10/31/16 at 12:16:51 -07:00
temperature (K),isotopic fractionation (perMille/%),error of isotopic fractionation (perMille/%)
 1.15004E+03, 9.69613E-02, 6.25080E-05
 1.16004E+03, 9.52969E-02, 6.14350E-05
 1.17004E+03, 9.36750E-02, 6.03894E-05
 1.18004E+03, 9.20942E-02, 5.93703E-05
 1.19004E+03, 9.05530E-02, 5.83767E-05
 1.20004E+03, 8.90502E-02, 5.74079E-05
 1.21004E+03, 8.75845E-02, 5.64630E-05
 1.22004E+03, 8.61547E-02, 5.55413E-05
 1.23004E+03, 8.47596E-02, 5.46419E-05
 1.24004E+03, 8.33981E-02, 5.37642E-05
 1.25004E+03, 8.20692E-02, 5.29075E-05
 1.26004E+03, 8.07718E-02, 5.20711E-05
 1.27004E+03, 7.95049E-02, 5.12543E-05
 1.28004E+03, 7.82676E-02, 5.04567E-05
 1.29004E+03, 7.70589E-02, 4.96775E-05
 1.30004E+03, 7.58781E-02, 4.89162E-05
 1.31003E+03, 7.47241E-02, 4.81723E-05
 1.32003E+03, 7.35963E-02, 4.74453E-05
 1.33003E+03, 7.24938E-02, 4.67345E-05
 1.34003E+03, 7.14160E-02, 4.60397E-05
 1.35003E+03, 7.03619E-02, 4.53602E-05
 1.36003E+03, 6.93311E-02, 4.46956E-05
 1.37003E+03, 6.83227E-02, 4.40455E-05
 1.38003E+03, 6.73362E-02, 4.34096E-05
 1.39003E+03, 6.63709E-02, 4.27873E-05
 1.40003E+03, 6.54262E-02, 4.21782E-05
 1.41003E+03, 6.45015E-02, 4.15821E-05
 1.42003E+03, 6.35963E-02, 4.09986E-05
 1.43003E+03, 6.27100E-02, 4.04272E-05
 1.44003E+03, 6.18421E-02, 3.98677E-05
 1.45003E+03, 6.09921E-02, 3.93197E-05
 1.46003E+03, 6.01595E-02, 3.87830E-05
 1.47003E+03, 5.93439E-02, 3.82572E-05
 1.48003E+03, 5.85447E-02, 3.77420E-05
 1.49003E+03, 5.77616E-02, 3.72371E-05
 1.50003E+03, 5.69940E-02, 3.67423E-05
 1.51002E+03, 5.62417E-02, 3.62573E-05
 1.52002E+03, 5.55041E-02, 3.57818E-05
 1.53002E+03, 5.47810E-02, 3.53156E-05
 1.54002E+03, 5.40719E-02, 3.48585E-05
 1.55002E+03, 5.33765E-02, 3.44102E-05
 1.56002E+03, 5.26944E-02, 3.39705E-05
 1.57002E+03, 5.20254E-02, 3.35391E-05
 1.58002E+03, 5.13689E-02, 3.31160E-05
 1.59002E+03, 5.07249E-02, 3.27007E-05
 1.60002E+03, 5.00928E-02, 3.22933E-05
 1.61002E+03, 4.94725E-02, 3.18934E-05
 1.62002E+03, 4.88637E-02, 3.15009E-05
 1.63002E+03, 4.82660E-02, 3.11156E-05
 1.64002E+03, 4.76792E-02, 3.07373E-05
 1.65002E+03, 4.71031E-02, 3.03659E-05
 1.66002E+03, 4.65373E-02, 3.00012E-05
 1.67002E+03, 4.59817E-02, 2.96430E-05
 1.68002E+03, 4.54359E-02, 2.92911E-05
 1.69002E+03, 4.48998E-02, 2.89455E-05
 1.70002E+03, 4.43732E-02, 2.86060E-05
 1.71001E+03, 4.38558E-02, 2.82725E-05
 1.72001E+03, 4.33473E-02, 2.79447E-05
 1.73001E+03, 4.28477E-02, 2.76226E-05
 1.74001E+03, 4.23566E-02, 2.73060E-05
 1.75001E+03, 4.18740E-02, 2.69948E-05
 1.76001E+03, 4.13995E-02, 2.66890E-05
 1.77001E+03, 4.09330E-02, 2.63883E-05
 1.78001E+03, 4.04744E-02, 2.60926E-05
 1.79001E+03, 4.00235E-02, 2.58019E-05
 1.80001E+03, 3.95801E-02, 2.55160E-05
 1.81001E+03, 3.91439E-02, 2.52349E-05
 1.82001E+03, 3.87150E-02, 2.49584E-05
 1.83001E+03, 3.82931E-02, 2.46864E-05
 1.84001E+03, 3.78780E-02, 2.44188E-05
 1.85001E+03, 3.74696E-02, 2.41555E-05
 1.86001E+03, 3.70678E-02, 2.38965E-05
 1.87001E+03, 3.66725E-02, 2.36416E-05
 1.88001E+03, 3.62834E-02, 2.33908E-05
 1.89001E+03, 3.59005E-02, 2.31439E-05
 1.90001E+03, 3.55236E-02, 2.29010E-05
 1.91000E+03, 3.51526E-02, 2.26618E-05
 1.92000E+03, 3.47874E-02, 2.24264E-05
 1.93000E+03, 3.44279E-02, 2.21946E-05
 1.94000E+03, 3.40739E-02, 2.19664E-05
 1.95000E+03, 3.37253E-02, 2.17417E-05
 1.96000E+03, 3.33821E-02, 2.15204E-05
 1.97000E+03, 3.30440E-02, 2.13025E-05
 1.98000E+03, 3.27111E-02, 2.10878E-05
 1.99000E+03, 3.23832E-02, 2.08765E-05
 2.00000E+03, 3.20602E-02, 2.06682E-05
