PHOENIX module psth; 10/31/16 at 12:16:51 -07:00
temperature (K),isotopic fractionation (perMille/%),error of isotopic fractionation (perMille/%)
 1.15004E+03, 9.68077E-02, 8.06614E-03
 1.16004E+03, 9.51486E-02, 8.06514E-03
 1.17004E+03, 9.35317E-02, 8.06418E-03
 1.18004E+03, 9.19556E-02, 8.06323E-03
 1.19004E+03, 9.04190E-02, 8.06232E-03
 1.20004E+03, 8.89206E-02, 8.06142E-03
 1.21004E+03, 8.74592E-02, 8.06055E-03
 1.22004E+03, 8.60334E-02, 8.05969E-03
 1.23004E+03, 8.46422E-02, 8.05886E-03
 1.24004E+03, 8.32845E-02, 8.05805E-03
 1.25004E+03, 8.19591E-02, 8.05726E-03
 1.26004E+03, 8.06652E-02, 8.05648E-03
 1.27004E+03, 7.94016E-02, 8.05573E-03
 1.28004E+03, 7.81675E-02, 8.05499E-03
 1.29004E+03, 7.69619E-02, 8.05427E-03
 1.30004E+03, 7.57840E-02, 8.05356E-03
 1.31003E+03, 7.46329E-02, 8.05288E-03
 1.32003E+03, 7.35078E-02, 8.05220E-03
 1.33003E+03, 7.24079E-02, 8.05155E-03
 1.34003E+03, 7.13326E-02, 8.05090E-03
 1.35003E+03, 7.02810E-02, 8.05027E-03
 1.36003E+03, 6.92525E-02, 8.04966E-03
 1.37003E+03, 6.82464E-02, 8.04906E-03
 1.38003E+03, 6.72621E-02, 8.04847E-03
 1.39003E+03, 6.62989E-02, 8.04789E-03
 1.40003E+03, 6.53562E-02, 8.04733E-03
 1.41003E+03, 6.44335E-02, 8.04678E-03
 1.42003E+03, 6.35302E-02, 8.04624E-03
 1.43003E+03, 6.26457E-02, 8.04571E-03
 1.44003E+03, 6.17796E-02, 8.04519E-03
 1.45003E+03, 6.09313E-02, 8.04468E-03
 1.46003E+03, 6.01004E-02, 8.04419E-03
 1.47003E+03, 5.92863E-02, 8.04370E-03
 1.48003E+03, 5.84887E-02, 8.04322E-03
 1.49003E+03, 5.77070E-02, 8.04276E-03
 1.50003E+03, 5.69409E-02, 8.04230E-03
 1.51002E+03, 5.61900E-02, 8.04185E-03
 1.52002E+03, 5.54538E-02, 8.04141E-03
 1.53002E+03, 5.47319E-02, 8.04098E-03
 1.54002E+03, 5.40241E-02, 8.04056E-03
 1.55002E+03, 5.33299E-02, 8.04014E-03
 1.56002E+03, 5.26490E-02, 8.03973E-03
 1.57002E+03, 5.19811E-02, 8.03933E-03
 1.58002E+03, 5.13258E-02, 8.03894E-03
 1.59002E+03, 5.06828E-02, 8.03856E-03
 1.60002E+03, 5.00518E-02, 8.03818E-03
 1.61002E+03, 4.94325E-02, 8.03781E-03
 1.62002E+03, 4.88246E-02, 8.03745E-03
 1.63002E+03, 4.82279E-02, 8.03709E-03
 1.64002E+03, 4.76420E-02, 8.03674E-03
 1.65002E+03, 4.70668E-02, 8.03640E-03
 1.66002E+03, 4.65019E-02, 8.03606E-03
 1.67002E+03, 4.59471E-02, 8.03573E-03
 1.68002E+03, 4.54022E-02, 8.03540E-03
 1.69002E+03, 4.48669E-02, 8.03508E-03
 1.70002E+03, 4.43410E-02, 8.03477E-03
 1.71001E+03, 4.38243E-02, 8.03446E-03
 1.72001E+03, 4.33166E-02, 8.03416E-03
 1.73001E+03, 4.28176E-02, 8.03386E-03
 1.74001E+03, 4.23273E-02, 8.03356E-03
 1.75001E+03, 4.18453E-02, 8.03328E-03
 1.76001E+03, 4.13715E-02, 8.03299E-03
 1.77001E+03, 4.09056E-02, 8.03271E-03
 1.78001E+03, 4.04476E-02, 8.03244E-03
 1.79001E+03, 3.99973E-02, 8.03217E-03
 1.80001E+03, 3.95544E-02, 8.03191E-03
 1.81001E+03, 3.91189E-02, 8.03165E-03
 1.82001E+03, 3.86905E-02, 8.03139E-03
 1.83001E+03, 3.82691E-02, 8.03114E-03
 1.84001E+03, 3.78545E-02, 8.03089E-03
 1.85001E+03, 3.74467E-02, 8.03065E-03
 1.86001E+03, 3.70453E-02, 8.03041E-03
 1.87001E+03, 3.66505E-02, 8.03017E-03
 1.88001E+03, 3.62618E-02, 8.02994E-03
 1.89001E+03, 3.58794E-02, 8.02971E-03
 1.90001E+03, 3.55029E-02, 8.02949E-03
 1.91000E+03, 3.51324E-02, 8.02926E-03
 1.92000E+03, 3.47676E-02, 8.02905E-03
 1.93000E+03, 3.44085E-02, 8.02883E-03
 1.94000E+03, 3.40549E-02, 8.02862E-03
 1.95000E+03, 3.37067E-02, 8.02841E-03
 1.96000E+03, 3.33638E-02, 8.02821E-03
 1.97000E+03, 3.30262E-02, 8.02801E-03
 1.98000E+03, 3.26936E-02, 8.02781E-03
 1.99000E+03, 3.23661E-02, 8.02761E-03
 2.00000E+03, 3.20434E-02, 8.02742E-03
