PHOENIX module psth; 10/31/16 at 12:16:51 -07:00
temperature (K),vibrational specific heat (k_B/atom),error of vibrational specific heat (k_B/atom)
 1.15004E+03, 2.98070E+00, 1.59013E-03
 1.16004E+03, 2.98103E+00, 1.59033E-03
 1.17004E+03, 2.98135E+00, 1.59052E-03
 1.18004E+03, 2.98166E+00, 1.59071E-03
 1.19004E+03, 2.98197E+00, 1.59089E-03
 1.20004E+03, 2.98227E+00, 1.59107E-03
 1.21004E+03, 2.98256E+00, 1.59124E-03
 1.22004E+03, 2.98284E+00, 1.59141E-03
 1.23004E+03, 2.98312E+00, 1.59158E-03
 1.24004E+03, 2.98339E+00, 1.59174E-03
 1.25004E+03, 2.98365E+00, 1.59189E-03
 1.26004E+03, 2.98391E+00, 1.59205E-03
 1.27004E+03, 2.98416E+00, 1.59220E-03
 1.28004E+03, 2.98441E+00, 1.59234E-03
 1.29004E+03, 2.98465E+00, 1.59249E-03
 1.30004E+03, 2.98488E+00, 1.59263E-03
 1.31003E+03, 2.98511E+00, 1.59276E-03
 1.32003E+03, 2.98533E+00, 1.59290E-03
 1.33003E+03, 2.98555E+00, 1.59303E-03
 1.34003E+03, 2.98577E+00, 1.59316E-03
 1.35003E+03, 2.98598E+00, 1.59328E-03
 1.36003E+03, 2.98618E+00, 1.59340E-03
 1.37003E+03, 2.98638E+00, 1.59352E-03
 1.38003E+03, 2.98658E+00, 1.59364E-03
 1.39003E+03, 2.98677E+00, 1.59375E-03
 1.40003E+03, 2.98696E+00, 1.59387E-03
 1.41003E+03, 2.98714E+00, 1.59398E-03
 1.42003E+03, 2.98732E+00, 1.59408E-03
 1.43003E+03, 2.98750E+00, 1.59419E-03
 1.44003E+03, 2.98767E+00, 1.59429E-03
 1.45003E+03, 2.98784E+00, 1.59439E-03
 1.46003E+03, 2.98800E+00, 1.59449E-03
 1.47003E+03, 2.98817E+00, 1.59459E-03
 1.48003E+03, 2.98832E+00, 1.59468E-03
 1.49003E+03, 2.98848E+00, 1.59478E-03
 1.50003E+03, 2.98863E+00, 1.59487E-03
 1.51002E+03, 2.98878E+00, 1.59496E-03
 1.52002E+03, 2.98893E+00, 1.59504E-03
 1.53002E+03, 2.98907E+00, 1.59513E-03
 1.54002E+03, 2.98921E+00, 1.59521E-03
 1.55002E+03, 2.98935E+00, 1.59530E-03
 1.56002E+03, 2.98949E+00, 1.59538E-03
 1.57002E+03, 2.98962E+00, 1.59546E-03
 1.58002E+03, 2.98975E+00, 1.59553E-03
 1.59002E+03, 2.98988E+00, 1.59561E-03
 1.60002E+03, 2.99001E+00, 1.59569E-03
 1.61002E+03, 2.99013E+00, 1.59576E-03
 1.62002E+03, 2.99025E+00, 1.59583E-03
 1.63002E+03, 2.99037E+00, 1.59590E-03
 1.64002E+03, 2.99049E+00, 1.59597E-03
 1.65002E+03, 2.99060E+00, 1.59604E-03
 1.66002E+03, 2.99071E+00, 1.59611E-03
 1.67002E+03, 2.99082E+00, 1.59617E-03
 1.68002E+03, 2.99093E+00, 1.59624E-03
 1.69002E+03, 2.99104E+00, 1.59630E-03
 1.70002E+03, 2.99114E+00, 1.59637E-03
 1.71001E+03, 2.99125E+00, 1.59643E-03
 1.72001E+03, 2.99135E+00, 1.59649E-03
 1.73001E+03, 2.99145E+00, 1.59655E-03
 1.74001E+03, 2.99155E+00, 1.59661E-03
 1.75001E+03, 2.99164E+00, 1.59666E-03
 1.76001E+03, 2.99174E+00, 1.59672E-03
 1.77001E+03, 2.99183E+00, 1.59677E-03
 1.78001E+03, 2.99192E+00, 1.59683E-03
 1.79001E+03, 2.99201E+00, 1.59688E-03
 1.80001E+03, 2.99210E+00, 1.59694E-03
 1.81001E+03, 2.99219E+00, 1.59699E-03
 1.82001E+03, 2.99227E+00, 1.59704E-03
 1.83001E+03, 2.99236E+00, 1.59709E-03
 1.84001E+03, 2.99244E+00, 1.59714E-03
 1.85001E+03, 2.99252E+00, 1.59719E-03
 1.86001E+03, 2.99260E+00, 1.59723E-03
 1.87001E+03, 2.99268E+00, 1.59728E-03
 1.88001E+03, 2.99276E+00, 1.59733E-03
 1.89001E+03, 2.99283E+00, 1.59737E-03
 1.90001E+03, 2.99291E+00, 1.59742E-03
 1.91000E+03, 2.99298E+00, 1.59746E-03
 1.92000E+03, 2.99305E+00, 1.59751E-03
 1.93000E+03, 2.99313E+00, 1.59755E-03
 1.94000E+03, 2.99320E+00, 1.59759E-03
 1.95000E+03, 2.99327E+00, 1.59763E-03
 1.96000E+03, 2.99333E+00, 1.59767E-03
 1.97000E+03, 2.99340E+00, 1.59771E-03
 1.98000E+03, 2.99347E+00, 1.59775E-03
 1.99000E+03, 2.99353E+00, 1.59779E-03
 2.00000E+03, 2.99360E+00, 1.59783E-03
