Date of conversion : 10/31/16,Time of conversion : 13:23:38 -07:00
Fit function for dominant peak is of exponential type,asymmetry factor :  0.90,shape coefficient :  1.60
,detailed imbalance,Chi^2,peak,FWHM,position,%background,input file
  ,ok,   1.46,5.44E+02,  0.96,  -0.568,   0.91,   data/3idb_0375.mda
  ,ok,   1.94,6.68E+02,  0.94,  -0.765,   0.52,   data/3idb_0376.mda
  ,ok,   1.42,6.04E+02,  0.97,  -2.188,   0.88,   data/3idb_0377.mda
  ,ok,   1.35,5.04E+02,  0.92,  -3.640,   0.74,   data/3idb_0378.mda

PHOENIX module padd; 10/31/16 at 13:23:38 -07:00
energy (meV),counts,error of counts
 4.38382E+01, 1.49828E+01, 3.72597E+00
 4.40882E+01, 1.20879E+01, 3.73447E+00
 4.43382E+01, 2.32243E+01, 5.01428E+00
 4.45882E+01, 1.86846E+01, 4.48215E+00
 4.48382E+01, 2.11239E+01, 4.55085E+00
 4.50882E+01, 1.62195E+01, 3.70699E+00
 4.53382E+01, 1.27208E+01, 3.91569E+00
 4.55882E+01, 1.62209E+01, 4.06060E+00
 4.58382E+01, 1.21971E+01, 3.39968E+00
 4.60882E+01, 2.36338E+01, 5.56060E+00
 4.63382E+01, 2.58493E+01, 4.84472E+00
 4.65882E+01, 1.97974E+01, 4.78768E+00
 4.68382E+01, 2.63246E+01, 5.33116E+00
 4.70882E+01, 2.38003E+01, 4.89750E+00
 4.73382E+01, 1.92181E+01, 4.36545E+00
 4.75882E+01, 1.73896E+01, 4.23174E+00
 4.78382E+01, 1.55293E+01, 3.37700E+00
 4.80882E+01, 1.24516E+01, 4.06460E+00
 4.83382E+01, 1.59510E+01, 4.29377E+00
 4.85882E+01, 1.69833E+01, 3.86699E+00
 4.88382E+01, 1.50781E+01, 4.35186E+00
 4.90882E+01, 1.67164E+01, 3.70809E+00
 4.93382E+01, 8.06261E+00, 2.60747E+00
 4.95882E+01, 8.85672E+00, 3.05861E+00
 4.98382E+01, 1.03193E+01, 3.33952E+00
 5.00882E+01, 1.04636E+01, 3.35638E+00
 5.03382E+01, 5.46198E+00, 2.54228E+00
 5.05882E+01, 3.87068E+00, 1.13087E+00
 5.08382E+01, 4.72964E+00, 2.62577E+00
 5.10882E+01, 4.28131E+00, 2.09924E+00
 5.13382E+01, 4.07397E+00, 2.09261E+00
 5.15882E+01, 4.35808E+00, 2.27331E+00
 5.18382E+01, 3.36038E+00, 1.15381E+00
 5.20882E+01, 5.24254E+00, 2.45463E+00
 5.23382E+01, 3.39047E+00, 2.35318E+00
 5.25882E+01, 9.07466E+00, 3.29652E+00
 5.28382E+01, 7.58864E+00, 2.36347E+00
 5.30882E+01, 3.43532E+00, 1.80965E+00
 5.33382E+01, 4.52735E+00, 2.12638E+00
 5.35882E+01, 2.53075E+00, 1.52355E+00
 5.38382E+01, 2.87711E+00, 1.82698E+00
 5.40882E+01, 1.77352E+00, 1.05951E+00
 5.43382E+01, 2.73264E+00, 1.60738E+00
 5.45882E+01, 4.58953E+00, 2.65919E+00
 5.48382E+01, 2.82267E+00, 1.46680E+00
 5.50882E+01, 1.97876E+00, 1.05526E+00
 5.53382E+01, 9.78772E-01, 9.73129E-01
 5.55882E+01, 1.79938E+00, 1.90647E+00
 5.58382E+01, 3.97902E+00, 2.30183E+00
 5.60882E+01, 7.09546E+00, 2.95088E+00
 5.63382E+01, 7.30648E+00, 2.36626E+00
 5.65882E+01, 3.35312E+00, 1.80039E+00
 5.68382E+01, 3.80945E+00, 2.08546E+00
 5.70882E+01, 3.59781E+00, 1.84921E+00
 5.73382E+01, 4.18629E+00, 1.87646E+00
 5.75882E+01, 6.71715E-01, 2.55886E-01
 5.78382E+01, 1.43757E+00, 1.81296E+00
 5.80882E+01, 3.91322E+00, 1.85268E+00
 5.83382E+01, 3.13210E+00, 1.78942E+00
 5.85882E+01, 3.03775E+00, 1.54324E+00
 5.88382E+01, 1.27920E+00, 1.16717E+00
 5.90882E+01, 1.24398E+00, 1.42055E+00
 5.93382E+01, 8.03263E-01, 4.32910E-01
 5.95882E+01, 8.11724E-01, 1.45171E+00
 5.98382E+01, 2.51974E+00, 1.18232E+00
 6.00882E+01, 7.44146E-01, 1.07370E+00
 6.03382E+01, 1.58505E+00, 1.43975E+00
 6.05882E+01, 1.33658E+00, 1.01509E+00
 6.08382E+01, 2.97928E+00, 1.94279E+00
 6.10882E+01, 3.19477E+00, 1.70735E+00
 6.13382E+01, 1.79885E+00, 1.78311E+00
 6.15882E+01, 2.93680E+00, 1.55192E+00
 6.18382E+01, 3.13079E+00, 2.38260E+00
 6.20882E+01, 6.91600E+00, 2.76541E+00
 6.23382E+01, 3.44755E+00, 1.06224E+00
 6.25882E+01, 2.46637E+00, 1.54198E+00
 6.28382E+01, 1.57168E+00, 1.45144E+00
 6.30882E+01, 1.26650E+00, 1.08058E+00
 6.33382E+01, 1.94189E+00, 1.77579E+00
 6.35882E+01, 3.65996E+00, 1.96948E+00
 6.38382E+01, 4.12848E+00, 2.28596E+00
 6.40882E+01, 3.05459E+00, 1.48613E+00
 6.43382E+01, 2.82703E+00, 1.73234E+00
 6.45882E+01, 1.29466E+00, 1.22366E+00
 6.48382E+01, 3.36212E+00, 2.53615E+00
 6.50882E+01, 4.91760E+00, 1.44713E+00
 6.53382E+01, 8.79812E-01, 0.00000E+00
 6.55882E+01, 2.86597E+00, 2.30149E+00
 6.58382E+01, 2.42105E+00, 1.02705E+00
 6.60882E+01, 7.51240E-01, 1.07111E+00
 6.63382E+01, 1.89291E+00, 1.79518E+00
 6.65882E+01, 3.45346E+00, 1.61392E+00
 6.68382E+01, 1.47400E+00, 1.80456E+00
 6.70882E+01, 3.18428E+00, 1.21822E+00
 6.73382E+01, 1.88471E-01, 1.06010E+00
 6.75882E+01, 2.98965E+00, 1.89725E+00
 6.78382E+01, 1.11356E+00, 1.13401E+00
 6.80882E+01, 3.17035E+00, 2.31931E+00
 6.83382E+01, 3.42662E+00, 1.53289E+00
 6.85882E+01, 3.13733E+00, 2.11290E+00
 6.88382E+01, 3.87016E+00, 1.79456E+00
 6.90882E+01, 3.35485E+00, 1.62230E+00
 6.93382E+01, 1.53884E+00, 1.45574E+00
 6.95882E+01, 2.47100E+00, 1.28023E+00
 6.98382E+01, 4.11593E+00, 2.50624E+00
 7.00882E+01, 2.71763E+00, 1.47468E+00
 7.03382E+01, 1.88240E+00, 1.45648E+00
 7.05882E+01, 1.08232E+00, 1.06365E+00
 7.08382E+01, 2.71527E+00, 1.91364E+00
 7.10882E+01, 1.12864E+00, 3.85808E-01
 7.13382E+01, 2.97830E+00, 2.20649E+00
 7.15882E+01, 2.76616E+00, 1.78239E+00
 7.18382E+01, 4.73803E+00, 2.36837E+00
 7.20882E+01, 6.90358E+00, 3.09548E+00
 7.23382E+01, 4.09131E+00, 2.34313E-01
 7.25882E+01, 1.70288E+00, 1.83433E+00
 7.28382E+01, 2.95873E+00, 1.69470E+00
 7.30882E+01, 3.11618E+00, 2.16007E+00
 7.33382E+01, 2.41685E+00, 1.12567E+00
 7.35882E+01, 2.26528E+00, 1.64585E+00
 7.38382E+01, 7.61357E-01, 1.01725E+00
 7.40882E+01, 1.15427E+00, 1.05385E+00
 7.43382E+01, 3.23978E-01, 3.76853E-01
 7.45882E+01, 5.30649E-01, 1.09504E+00
 7.48382E+01, 1.33370E+00, 1.44870E+00
 7.50882E+01, 1.21382E+00, 3.28210E-01
 7.53382E+01, 3.12269E+00, 2.01798E+00
 7.55882E+01, 2.70496E-01, 4.47152E-01
 7.58382E+01, 3.11327E+00, 2.18480E+00
 7.60882E+01, 3.77077E+00, 1.79361E+00
 7.63382E+01, 7.09442E-01, 1.53923E+00
 7.65882E+01, 2.54724E+00, 1.80404E+00
 7.68382E+01, 2.12771E+00, 1.07406E+00
 7.70882E+01, 2.76812E+00, 2.10358E+00
 7.73382E+01, 2.81740E+00, 1.16524E+00
 7.75882E+01, 3.51620E+00, 2.09953E+00
 7.78382E+01, 4.10981E+00, 2.34392E+00
 7.80882E+01, 3.81227E+00, 2.05932E+00
 7.83382E+01, 2.03790E+00, 1.80429E+00
 7.85882E+01, 3.13792E+00, 1.58087E+00
 7.88382E+01, 3.64253E+00, 2.05846E+00
 7.90882E+01, 1.59931E+00, 1.49303E+00
 7.93382E+01, 1.82991E+00, 1.01436E+00
 7.95882E+01, 3.33791E-01, 0.00000E+00
 7.98382E+01,-1.24409E-01, 0.00000E+00
 8.00882E+01,-1.24672E-01, 0.00000E+00
 8.03382E+01, 1.13006E+00, 1.25914E+00
 8.05882E+01, 1.10336E-01, 1.07246E+00
 8.08382E+01, 1.47686E+00, 1.52201E+00
