PHOENIX module padd; 10/31/16 at 13:23:38 -07:00
energy (meV),normalization function
-3.60000E+01, 9.23935E-01
-3.57500E+01, 9.23324E-01
-3.55000E+01, 9.28430E-01
-3.52400E+01, 9.30927E-01
-3.49900E+01, 9.34532E-01
-3.47400E+01, 9.26716E-01
-3.44900E+01, 9.24735E-01
-3.42400E+01, 9.16847E-01
-3.39900E+01, 9.14792E-01
-3.37300E+01, 9.12812E-01
-3.34800E+01, 9.15643E-01
-3.32300E+01, 9.17350E-01
-3.29800E+01, 9.18945E-01
-3.27300E+01, 9.18861E-01
-3.24700E+01, 9.20563E-01
-3.22200E+01, 9.22272E-01
-3.19700E+01, 9.24667E-01
-3.17200E+01, 9.24770E-01
-3.14700E+01, 9.25435E-01
-3.12500E+01, 9.26870E-01
-3.10000E+01, 9.29617E-01
-3.07500E+01, 9.30996E-01
-3.05000E+01, 9.31117E-01
-3.02500E+01, 9.30547E-01
-2.99900E+01, 9.31964E-01
-2.97400E+01, 9.34393E-01
-2.94900E+01, 9.33889E-01
-2.92400E+01, 9.31705E-01
-2.89900E+01, 9.27247E-01
-2.87300E+01, 9.26340E-01
-2.84800E+01, 9.25571E-01
-2.82300E+01, 9.25520E-01
-2.79800E+01, 9.25435E-01
-2.77300E+01, 9.24599E-01
-2.74800E+01, 9.25913E-01
-2.72200E+01, 9.27058E-01
-2.69700E+01, 9.29496E-01
-2.67200E+01, 9.29789E-01
-2.64700E+01, 9.31169E-01
-2.62200E+01, 9.31186E-01
-2.60000E+01, 9.32952E-01
-2.57500E+01, 9.36119E-01
-2.55000E+01, 9.38008E-01
-2.52500E+01, 9.38025E-01
-2.49900E+01, 9.39747E-01
-2.47400E+01, 9.42464E-01
-2.44900E+01, 9.46302E-01
-2.42400E+01, 9.45714E-01
-2.39900E+01, 9.46623E-01
-2.37400E+01, 9.45999E-01
-2.34800E+01, 9.48860E-01
-2.32300E+01, 9.50118E-01
-2.29800E+01, 9.51902E-01
-2.27300E+01, 9.53457E-01
-2.24800E+01, 9.52299E-01
-2.22300E+01, 9.54763E-01
-2.19700E+01, 9.54708E-01
-2.17200E+01, 9.55508E-01
-2.14700E+01, 9.56436E-01
-2.12200E+01, 9.55744E-01
-2.10000E+01, 9.59563E-01
-2.07500E+01, 9.62600E-01
-2.05000E+01, 9.66604E-01
-2.02500E+01, 9.68095E-01
-2.00000E+01, 9.67927E-01
-1.97400E+01, 9.67965E-01
-1.94900E+01, 9.68562E-01
-1.92400E+01, 9.69891E-01
-1.89900E+01, 9.71656E-01
-1.87400E+01, 9.70510E-01
-1.84800E+01, 9.66120E-01
-1.82300E+01, 9.58903E-01
-1.79800E+01, 9.53294E-01
-1.77300E+01, 9.54817E-01
-1.74800E+01, 9.56564E-01
-1.72300E+01, 9.58940E-01
-1.69700E+01, 9.57312E-01
-1.67200E+01, 9.57860E-01
-1.64700E+01, 9.60408E-01
-1.62200E+01, 9.63172E-01
-1.59700E+01, 9.66380E-01
-1.57500E+01, 9.69741E-01
-1.55000E+01, 9.72447E-01
-1.52500E+01, 9.74429E-01
-1.50000E+01, 9.73824E-01
-1.47400E+01, 9.74183E-01
-1.44900E+01, 9.75224E-01
-1.42400E+01, 9.78265E-01
-1.39900E+01, 9.81710E-01
-1.37400E+01, 9.88613E-01
-1.34900E+01, 9.87426E-01
-1.32300E+01, 9.80425E-01
-1.29800E+01, 9.71713E-01
-1.27300E+01, 9.68282E-01
-1.24800E+01, 9.67274E-01
-1.22300E+01, 9.68357E-01
-1.19800E+01, 9.68936E-01
-1.17200E+01, 9.71788E-01
-1.14700E+01, 9.69198E-01
-1.12200E+01, 9.69985E-01
-1.09700E+01, 9.74391E-01
-1.07500E+01, 9.77104E-01
-1.05000E+01, 9.79736E-01
-1.02500E+01, 9.81786E-01
-1.00000E+01, 9.84289E-01
-9.75000E+00, 9.87621E-01
-9.49000E+00, 9.86010E-01
-9.24000E+00, 9.87971E-01
-8.99000E+00, 9.91817E-01
-8.74000E+00, 9.92346E-01
-8.49000E+00, 9.94450E-01
-8.24000E+00, 9.94903E-01
-7.98000E+00, 9.95140E-01
-7.73000E+00, 9.93741E-01
-7.48000E+00, 9.88029E-01
-7.23000E+00, 9.87368E-01
-6.98000E+00, 9.84811E-01
-6.73000E+00, 9.84328E-01
-6.47000E+00, 9.84367E-01
-6.22000E+00, 9.83287E-01
-5.97000E+00, 9.86107E-01
-5.72000E+00, 9.85043E-01
-5.50000E+00, 9.89900E-01
-5.25000E+00, 9.90251E-01
-5.00000E+00, 9.92287E-01
-4.75000E+00, 9.93997E-01
-4.50000E+00, 9.94726E-01
-4.24000E+00, 9.94489E-01
-3.99000E+00, 9.95021E-01
-3.74000E+00, 9.95732E-01
-3.49000E+00, 9.97414E-01
-3.24000E+00, 1.00010E+00
-2.98000E+00, 1.00597E+00
-2.73000E+00, 1.00886E+00
-2.48000E+00, 1.00678E+00
-2.23000E+00, 1.00161E+00
-1.98000E+00, 1.00127E+00
-1.73000E+00, 1.00283E+00
-1.47000E+00, 1.00310E+00
-1.22000E+00, 1.00781E+00
-9.70000E-01, 1.00656E+00
-7.20000E-01, 1.00984E+00
-4.70000E-01, 1.00765E+00
-2.50000E-01, 1.01336E+00
 0.00000E+00, 1.01589E+00
 2.50000E-01, 1.01900E+00
 5.00000E-01, 1.01923E+00
 7.60000E-01, 1.02276E+00
 1.01000E+00, 1.02270E+00
 1.26000E+00, 1.02529E+00
 1.51000E+00, 1.02556E+00
 1.76000E+00, 1.02966E+00
 2.01000E+00, 1.02209E+00
 2.27000E+00, 1.01747E+00
 2.52000E+00, 1.00557E+00
 2.77000E+00, 9.99460E-01
 3.02000E+00, 9.93977E-01
 3.27000E+00, 9.90173E-01
 3.52000E+00, 9.87387E-01
 3.78000E+00, 9.84309E-01
 4.03000E+00, 9.82940E-01
 4.28000E+00, 9.83634E-01
 4.53000E+00, 9.81690E-01
 4.75000E+00, 9.85875E-01
 5.00000E+00, 9.89236E-01
 5.25000E+00, 9.96068E-01
 5.50000E+00, 9.97830E-01
 5.75000E+00, 9.98943E-01
 6.01000E+00, 9.97612E-01
 6.26000E+00, 9.97692E-01
 6.51000E+00, 9.98684E-01
 6.76000E+00, 1.00046E+00
 7.01000E+00, 1.00305E+00
 7.26000E+00, 1.00541E+00
 7.52000E+00, 1.00825E+00
 7.77000E+00, 1.01014E+00
 8.02000E+00, 1.00551E+00
 8.27000E+00, 1.00022E+00
 8.52000E+00, 9.91915E-01
 8.78000E+00, 9.91307E-01
 9.03000E+00, 9.90642E-01
 9.28000E+00, 9.94726E-01
 9.53000E+00, 9.94706E-01
 9.78000E+00, 9.93289E-01
 1.00000E+01, 9.92189E-01
 1.02500E+01, 9.95278E-01
 1.05000E+01, 1.00006E+00
 1.07500E+01, 1.00237E+00
 1.10100E+01, 1.00492E+00
 1.12600E+01, 1.00452E+00
 1.15100E+01, 1.00464E+00
 1.17600E+01, 1.00623E+00
 1.20100E+01, 1.00734E+00
 1.22600E+01, 1.00969E+00
 1.25200E+01, 1.01224E+00
 1.27700E+01, 1.01737E+00
 1.30200E+01, 1.01991E+00
 1.32700E+01, 1.01782E+00
 1.35200E+01, 1.01069E+00
 1.37700E+01, 1.00458E+00
 1.40300E+01, 1.00054E+00
 1.42800E+01, 1.00141E+00
 1.45300E+01, 1.00436E+00
 1.47800E+01, 1.00458E+00
 1.50000E+01, 1.00825E+00
 1.52500E+01, 1.00706E+00
 1.55000E+01, 1.00821E+00
 1.57500E+01, 1.00633E+00
 1.60000E+01, 1.00866E+00
 1.62600E+01, 1.01065E+00
 1.65100E+01, 1.01467E+00
 1.67600E+01, 1.01722E+00
 1.70100E+01, 1.01927E+00
 1.72600E+01, 1.02257E+00
 1.75100E+01, 1.02688E+00
 1.77700E+01, 1.03150E+00
 1.80200E+01, 1.03741E+00
 1.82700E+01, 1.04091E+00
 1.85200E+01, 1.05021E+00
 1.87700E+01, 1.04273E+00
 1.90200E+01, 1.03943E+00
 1.92800E+01, 1.02478E+00
 1.95300E+01, 1.02284E+00
 1.97800E+01, 1.01634E+00
 2.00300E+01, 1.01447E+00
 2.02500E+01, 1.01306E+00
 2.05000E+01, 1.01267E+00
 2.07500E+01, 1.01490E+00
 2.10000E+01, 1.01632E+00
 2.12500E+01, 1.01669E+00
 2.15100E+01, 1.01970E+00
 2.17600E+01, 1.02120E+00
 2.20100E+01, 1.02631E+00
 2.22600E+01, 1.03280E+00
 2.25100E+01, 1.03572E+00
 2.27600E+01, 1.03715E+00
 2.30200E+01, 1.03984E+00
 2.32700E+01, 1.04269E+00
 2.35200E+01, 1.04610E+00
 2.37700E+01, 1.04497E+00
 2.40200E+01, 1.04636E+00
 2.42800E+01, 1.04323E+00
 2.45300E+01, 1.03824E+00
 2.47800E+01, 1.03101E+00
 2.50300E+01, 1.02673E+00
 2.52500E+01, 1.02478E+00
 2.55000E+01, 1.02460E+00
 2.57500E+01, 1.02483E+00
 2.60000E+01, 1.02644E+00
 2.62500E+01, 1.03055E+00
 2.65100E+01, 1.03214E+00
 2.67600E+01, 1.03567E+00
 2.70100E+01, 1.03730E+00
 2.72600E+01, 1.04356E+00
 2.75100E+01, 1.04351E+00
 2.77600E+01, 1.04425E+00
 2.80200E+01, 1.04627E+00
 2.82700E+01, 1.04938E+00
 2.85200E+01, 1.05217E+00
 2.87700E+01, 1.05399E+00
 2.90200E+01, 1.05520E+00
 2.92700E+01, 1.05576E+00
 2.95300E+01, 1.05061E+00
 2.97800E+01, 1.04584E+00
 3.00300E+01, 1.04007E+00
 3.02800E+01, 1.03857E+00
 3.05000E+01, 1.03570E+00
 3.07500E+01, 1.03559E+00
 3.10000E+01, 1.03760E+00
 3.12500E+01, 1.04076E+00
 3.15000E+01, 1.03997E+00
 3.17600E+01, 1.04150E+00
 3.20100E+01, 1.04327E+00
 3.22600E+01, 1.05039E+00
 3.25100E+01, 1.05472E+00
 3.27600E+01, 1.05723E+00
 3.30100E+01, 1.06195E+00
 3.32700E+01, 1.06116E+00
 3.35200E+01, 1.06343E+00
 3.37700E+01, 1.06150E+00
 3.40200E+01, 1.06721E+00
 3.42700E+01, 1.06928E+00
 3.45200E+01, 1.07463E+00
 3.47800E+01, 1.07404E+00
 3.50300E+01, 1.07592E+00
 3.52800E+01, 1.07355E+00
 3.55000E+01, 1.07856E+00
 3.57500E+01, 1.08244E+00
 3.60000E+01, 1.09023E+00
 3.62500E+01, 1.09241E+00
 3.65000E+01, 1.09158E+00
 3.67500E+01, 1.09463E+00
 3.70100E+01, 1.10212E+00
 3.72600E+01, 1.10774E+00
 3.75100E+01, 1.10738E+00
 3.77600E+01, 1.10528E+00
 3.80100E+01, 1.11528E+00
 3.82700E+01, 1.11906E+00
 3.85200E+01, 1.12530E+00
 3.87700E+01, 1.12452E+00
 3.90200E+01, 1.12248E+00
 3.92700E+01, 1.12121E+00
 3.95200E+01, 1.11863E+00
 3.97800E+01, 1.12281E+00
 4.00300E+01, 1.11542E+00
 4.02800E+01, 1.10691E+00
 4.05300E+01, 1.09892E+00
 4.07500E+01, 1.09296E+00
 4.10000E+01, 1.09570E+00
 4.12500E+01, 1.09549E+00
 4.15000E+01, 1.09957E+00
 4.17500E+01, 1.09584E+00
 4.20100E+01, 1.09534E+00
 4.22600E+01, 1.09750E+00
 4.25100E+01, 1.10024E+00
 4.27600E+01, 1.09913E+00
 4.30100E+01, 1.10380E+00
 4.32600E+01, 1.10943E+00
 4.35200E+01, 1.11540E+00
 4.37700E+01, 1.11639E+00
 4.40200E+01, 1.11369E+00
 4.42700E+01, 1.12136E+00
 4.45200E+01, 1.12319E+00
 4.47700E+01, 1.12606E+00
 4.50300E+01, 1.12523E+00
 4.52800E+01, 1.12598E+00
 4.55300E+01, 1.12793E+00
 4.57800E+01, 1.12178E+00
 4.60000E+01, 1.11278E+00
 4.62500E+01, 1.10757E+00
 4.65000E+01, 1.10210E+00
 4.67500E+01, 1.10292E+00
 4.70000E+01, 1.10518E+00
 4.72600E+01, 1.10902E+00
 4.75100E+01, 1.11458E+00
 4.77600E+01, 1.11253E+00
 4.80100E+01, 1.11821E+00
 4.82600E+01, 1.11607E+00
 4.85100E+01, 1.12025E+00
 4.87700E+01, 1.12005E+00
 4.90200E+01, 1.12748E+00
 4.92700E+01, 1.13136E+00
 4.95200E+01, 1.13569E+00
 4.97700E+01, 1.13809E+00
 5.00300E+01, 1.14122E+00
 5.02800E+01, 1.14460E+00
 5.05300E+01, 1.14659E+00
 5.07800E+01, 1.14034E+00
 5.10000E+01, 1.13318E+00
 5.12500E+01, 1.12841E+00
 5.15000E+01, 1.12819E+00
 5.17500E+01, 1.12581E+00
 5.20000E+01, 1.12316E+00
 5.22500E+01, 1.12291E+00
 5.25100E+01, 1.12151E+00
 5.27600E+01, 1.12055E+00
 5.30100E+01, 1.11898E+00
 5.32600E+01, 1.12382E+00
 5.35100E+01, 1.13060E+00
 5.37700E+01, 1.13659E+00
 5.40200E+01, 1.14421E+00
 5.42700E+01, 1.14018E+00
 5.45200E+01, 1.14384E+00
 5.47700E+01, 1.14291E+00
 5.50200E+01, 1.15098E+00
 5.52800E+01, 1.15703E+00
 5.55300E+01, 1.15745E+00
 5.57800E+01, 1.15543E+00
 5.60300E+01, 1.15721E+00
 5.62500E+01, 1.16059E+00
 5.65000E+01, 1.15772E+00
 5.67500E+01, 1.14737E+00
 5.70000E+01, 1.14374E+00
 5.72500E+01, 1.14228E+00
 5.75100E+01, 1.13695E+00
 5.77600E+01, 1.13131E+00
 5.80100E+01, 1.13139E+00
 5.82600E+01, 1.13490E+00
 5.85100E+01, 1.14633E+00
 5.87600E+01, 1.14531E+00
 5.90200E+01, 1.15243E+00
 5.92700E+01, 1.14601E+00
 5.95200E+01, 1.15214E+00
 5.97700E+01, 1.15586E+00
 6.00200E+01, 1.16212E+00
 6.02700E+01, 1.16425E+00
 6.05300E+01, 1.16511E+00
 6.07800E+01, 1.16473E+00
 6.10300E+01, 1.17227E+00
 6.12500E+01, 1.17356E+00
 6.15000E+01, 1.17758E+00
 6.17500E+01, 1.17645E+00
 6.20000E+01, 1.17830E+00
 6.22500E+01, 1.18071E+00
 6.25000E+01, 1.18637E+00
 6.27600E+01, 1.19411E+00
 6.30100E+01, 1.19984E+00
 6.32600E+01, 1.20471E+00
 6.35100E+01, 1.21654E+00
 6.37600E+01, 1.22527E+00
 6.40100E+01, 1.22704E+00
 6.42700E+01, 1.21795E+00
 6.45200E+01, 1.21786E+00
 6.47700E+01, 1.21967E+00
 6.50200E+01, 1.23043E+00
 6.52700E+01, 1.22845E+00
 6.55300E+01, 1.23222E+00
 6.57800E+01, 1.23240E+00
 6.60300E+01, 1.23756E+00
 6.62800E+01, 1.23964E+00
 6.65000E+01, 1.24173E+00
 6.67500E+01, 1.24154E+00
 6.70000E+01, 1.23416E+00
 6.72500E+01, 1.21982E+00
 6.75000E+01, 1.21562E+00
 6.77600E+01, 1.21533E+00
