14.41243502	-10941.84196969	-16341.35331630	1.00000000	5.00000000	6194.00000000	20940.00000000	30159456.00000000	0.00000000	20465924.00000000	1.00000000	299.39608765	299.50961304	300.02352905	299.57565308	393.00000000	1.43898189	0.00352766	
14.41243527	-10941.84196969	-16341.43815630	1.00000000	5.00000000	6187.00000000	20941.00000000	30166616.00000000	0.00000000	20478312.00000000	0.00000000	299.39608765	299.50961304	300.02352905	299.57565308	388.00000000	1.43819714	-0.00078475	
14.41243552	-10941.84196969	-16341.52299630	1.00000000	5.00000000	6184.00000000	20915.00000000	30162000.00000000	0.00000000	20467034.00000000	0.00000000	299.39617920	299.50964355	300.02349854	299.57565308	389.00000000	1.43644929	-0.00174794	
14.41243573	-10941.84196969	-16341.59571630	1.00000000	5.00000000	6181.00000000	20922.00000000	30160420.00000000	0.00000000	20467280.00000000	2.00000000	299.39617920	299.50955200	300.02349854	299.57565308	386.00000000	1.43639302	-0.00005618	
14.41243599	-10941.84196969	-16341.68055630	1.00000000	5.00000000	6189.00000000	20965.00000000	30165064.00000000	0.00000000	20474228.00000000	1.00000000	299.39617920	299.50955200	300.02331543	299.57559204	384.00000000	1.43673480	0.00034168	
14.41243624	-10941.84196969	-16341.76539630	1.00000000	5.00000000	6180.00000000	20952.00000000	30165890.00000000	0.00000000	20471008.00000000	0.00000000	299.39596558	299.50958252	300.02380371	299.57559204	387.00000000	1.44081068	0.00407598	
14.41243649	-10941.84196969	-16341.85023630	1.00000000	5.00000000	6177.00000000	20873.00000000	30160008.00000000	0.00000000	20454376.00000000	0.00000000	299.39596558	299.50958252	300.02380371	299.57559204	387.00000000	1.44054365	-0.00026708	
14.41243674	-10941.84196969	-16341.93507630	1.00000000	5.00000000	6175.00000000	20921.00000000	30155524.00000000	1.00000000	20464270.00000000	1.00000000	299.39611816	299.50964355	300.02380371	299.57556152	390.00000000	1.43957186	-0.00097174	
14.41243699	-10941.84196969	-16342.01991630	1.00000000	5.00000000	6200.00000000	20965.00000000	30174708.00000000	0.00000000	20499516.00000000	0.00000000	299.39611816	299.50964355	300.02380371	299.57556152	389.00000000	1.44380951	0.00423765	
14.41243724	-10941.84196969	-16342.10475630	1.00000000	5.00000000	6204.00000000	21015.00000000	30191962.00000000	0.00000000	20529194.00000000	0.00000000	299.39596558	299.50955200	300.02374268	299.57540894	390.00000000	1.44320357	-0.00060602	
14.41243750	-10941.84196969	-16342.18959630	1.00000000	5.00000000	6215.00000000	21092.00000000	30204418.00000000	1.00000000	20548692.00000000	0.00000000	299.39617920	299.50955200	300.02383423	299.57546997	387.00000000	1.44097054	-0.00223298	
14.41243775	-10941.84196969	-16342.27443630	1.00000000	5.00000000	6217.00000000	21082.00000000	30208098.00000000	0.00000000	20563084.00000000	0.00000000	299.39617920	299.50955200	300.02383423	299.57546997	387.00000000	1.44735360	0.00638305	
14.41243800	-10941.84196969	-16342.35927630	1.00000000	5.00000000	6222.00000000	21113.00000000	30211232.00000000	0.00000000	20559488.00000000	0.00000000	299.39614868	299.50952148	300.02371216	299.57537842	387.00000000	1.44664168	-0.00071198	
14.41243825	-10941.84196969	-16342.44411630	1.00000000	5.00000000	6223.00000000	21098.00000000	30213396.00000000	0.00000000	20565316.00000000	0.00000000	299.39614868	299.50952148	300.02371216	299.57537842	386.00000000	1.44393027	-0.00271133	
14.41243850	-10941.84196969	-16342.52895630	1.00000000	5.00000000	6221.00000000	21096.00000000	30223840.00000000	0.00000000	20586440.00000000	0.00000000	299.39608765	299.50955200	300.02371216	299.57540894	386.00000000	1.44365406	-0.00027623	
14.41243876	-10941.84196969	-16342.61379630	1.00000000	5.00000000	6222.00000000	21116.00000000	30225322.00000000	0.00000000	20582532.00000000	1.00000000	299.39599609	299.50952148	300.02270508	299.57531738	388.00000000	1.43483984	-0.00881425	
14.41243901	-10941.84196969	-16342.69863630	1.00000000	5.00000000	6224.00000000	21126.00000000	30223222.00000000	0.00000000	20582596.00000000	0.00000000	299.39599609	299.50952148	300.02270508	299.57531738	388.00000000	1.43207645	-0.00276331	
14.41243926	-10941.84196969	-16342.78347630	1.00000000	5.00000000	6216.00000000	21086.00000000	30218656.00000000	0.00000000	20572710.00000000	0.00000000	299.39605713	299.50952148	300.02267456	299.57537842	389.00000000	1.42679346	-0.00528307	
14.41243951	-10941.84196969	-16342.86831630	1.00000000	5.00000000	6220.00000000	21112.00000000	30223532.00000000	1.00000000	20590436.00000000	0.00000000	299.39605713	299.50952148	300.02267456	299.57537842	396.00000000	1.42595005	-0.00084334	
14.41243976	-10941.84196969	-16342.95315630	1.00000000	5.00000000	6218.00000000	21084.00000000	30217566.00000000	0.00000000	20578522.00000000	0.00000000	299.39599609	299.50949097	300.02316284	299.57528687	388.00000000	1.42433703	-0.00161304	
14.41244001	-10941.84196969	-16343.03799630	1.00000000	5.00000000	6216.00000000	21105.00000000	30214402.00000000	0.00000000	20573158.00000000	0.00000000	299.39599609	299.50949097	300.02316284	299.57528687	386.00000000	1.42868865	0.00435154	
14.41244027	-10941.84196969	-16343.12283630	1.00000000	5.00000000	6212.00000000	21085.00000000	30210960.00000000	0.00000000	20566202.00000000	0.00000000	299.39593506	299.50942993	300.02371216	299.57553101	392.00000000	1.43063712	0.00194850	
14.41244052	-10941.84196969	-16343.20767630	1.00000000	5.00000000	6214.00000000	21083.00000000	30202128.00000000	1.00000000	20551982.00000000	1.00000000	299.39584351	299.50958252	300.02413940	299.57531738	396.00000000	1.42592680	-0.00471034	
