Date of conversion : 10/30/16,Time of conversion : 15:29:20 -07:00
Fit function for dominant peak from file "mono.res",asymmetry factor :  1.00
,detailed imbalance,Chi^2,peak,FWHM,position,%background,input file
  ,ok,   1.62,3.35E+03,  0.99,  -0.221,   2.01,   scan112.raw
  ,??,   1.48,3.01E+03,  0.92,  -4.540,   2.37,   scan115.raw
  ,ok,   1.20,1.59E+03,  1.00,   0.674,   2.64,   scan118.raw
  , ?,   3.39,1.60E+03,  1.03,   0.669,   2.36,   scan119.raw

PHOENIX module padd; 10/30/16 at 15:29:20 -07:00
energy (meV),counts,error of counts
 2.96854E+01, 3.50156E+02, 1.86458E+01
 2.99844E+01, 3.20714E+02, 1.76940E+01
 3.02835E+01, 2.96299E+02, 1.73208E+01
 3.05825E+01, 2.95704E+02, 1.73954E+01
 3.08816E+01, 3.02629E+02, 1.74078E+01
 3.11806E+01, 2.92859E+02, 1.75707E+01
 3.14796E+01, 2.93723E+02, 1.71309E+01
 3.17787E+01, 2.75980E+02, 1.64893E+01
 3.20777E+01, 2.53799E+02, 1.59402E+01
 3.23768E+01, 2.46974E+02, 1.62989E+01
 3.26758E+01, 2.67841E+02, 1.66297E+01
 3.29748E+01, 2.66027E+02, 1.61669E+01
 3.32739E+01, 2.57085E+02, 1.65635E+01
 3.35729E+01, 2.81245E+02, 1.72709E+01
 3.38719E+01, 3.02816E+02, 1.75001E+01
 3.41710E+01, 3.07716E+02, 1.78341E+01
 3.44700E+01, 3.26578E+02, 1.84409E+01
 3.47691E+01, 3.60750E+02, 1.93703E+01
 3.50681E+01, 3.99218E+02, 2.05527E+01
 3.53671E+01, 4.42872E+02, 2.15983E+01
 3.56662E+01, 4.38894E+02, 2.07050E+01
 3.59652E+01, 4.01780E+02, 2.05951E+01
 3.62643E+01, 4.01772E+02, 1.94439E+01
 3.65633E+01, 3.52186E+02, 1.87882E+01
 3.68623E+01, 3.13327E+02, 1.71383E+01
 3.71614E+01, 2.54335E+02, 1.53057E+01
 3.74604E+01, 2.08510E+02, 1.37466E+01
 3.77595E+01, 1.65741E+02, 1.22653E+01
 3.80585E+01, 1.35802E+02, 1.12903E+01
 3.83575E+01, 1.14222E+02, 1.02990E+01
 3.86566E+01, 8.80416E+01, 8.96935E+00
 3.89556E+01, 6.59330E+01, 7.30756E+00
 3.92546E+01, 4.88285E+01, 6.81586E+00
 3.95537E+01, 4.05909E+01, 6.44785E+00
 3.98527E+01, 4.10787E+01, 6.53066E+00
 4.01518E+01, 4.16607E+01, 6.81513E+00
 4.04508E+01, 4.81644E+01, 6.33048E+00
 4.07498E+01, 3.82604E+01, 6.34492E+00
 4.10489E+01, 4.14791E+01, 6.54833E+00
 4.13479E+01, 3.50568E+01, 5.73265E+00
 4.16470E+01, 3.70922E+01, 5.90378E+00
 4.19460E+01, 3.95428E+01, 6.35828E+00
 4.22450E+01, 2.53096E+01, 4.86227E+00
 4.25441E+01, 3.11491E+01, 5.71397E+00
 4.28431E+01, 3.52219E+01, 6.11989E+00
 4.31422E+01, 3.39813E+01, 5.84463E+00
 4.34412E+01, 2.99739E+01, 5.47288E+00
 4.37402E+01, 3.20011E+01, 5.69305E+00
 4.40393E+01, 3.08386E+01, 5.55282E+00
 4.43383E+01, 2.70866E+01, 5.06054E+00
 4.46374E+01, 2.46330E+01, 4.87524E+00
 4.49364E+01, 3.11192E+01, 5.81772E+00
 4.52354E+01, 3.23676E+01, 5.60710E+00
 4.55345E+01, 2.43061E+01, 4.84101E+00
 4.58335E+01, 2.38443E+01, 5.03380E+00
 4.61325E+01, 2.70435E+01, 5.21207E+00
 4.64316E+01, 2.27228E+01, 4.55382E+00
 4.67306E+01, 2.17804E+01, 4.83391E+00
 4.70297E+01, 1.66556E+01, 3.89701E+00
 4.73287E+01, 1.79088E+01, 4.55277E+00
 4.76277E+01, 2.94628E+01, 5.58434E+00
 4.79268E+01, 3.25870E+01, 5.53589E+00
 4.82258E+01, 2.92016E+01, 5.70082E+00
 4.85249E+01, 2.64873E+01, 4.98149E+00
 4.88239E+01, 2.31424E+01, 4.61858E+00
 4.91229E+01, 3.13941E+01, 5.90367E+00
 4.94220E+01, 3.02895E+01, 5.19416E+00
 4.97210E+01, 2.52125E+01, 5.23304E+00
 5.00201E+01, 2.92286E+01, 5.61251E+00
 5.03191E+01, 3.03792E+01, 5.58342E+00
 5.06181E+01, 2.60159E+01, 5.07713E+00
 5.09172E+01, 2.28020E+01, 4.57409E+00
 5.12162E+01, 2.29289E+01, 4.98412E+00
 5.15152E+01, 2.06367E+01, 4.25743E+00
 5.18143E+01, 2.26201E+01, 5.17964E+00
 5.21133E+01, 3.02070E+01, 5.42158E+00
 5.24124E+01, 2.93726E+01, 5.60548E+00
 5.27114E+01, 2.80563E+01, 5.29812E+00
 5.30104E+01, 2.60696E+01, 4.96665E+00
 5.33095E+01, 2.99957E+01, 6.02727E+00
 5.36085E+01, 3.17184E+01, 5.47134E+00
 5.39076E+01, 2.41661E+01, 4.63201E+00
 5.42066E+01, 2.18200E+01, 4.76570E+00
 5.45056E+01, 1.82126E+01, 4.28412E+00
 5.48047E+01, 1.57312E+01, 3.83123E+00
 5.51037E+01, 2.00928E+01, 4.84975E+00
 5.54028E+01, 2.52674E+01, 5.36440E+00
 5.57018E+01, 2.24896E+01, 4.71481E+00
 5.60008E+01, 1.92742E+01, 4.07490E+00
 5.62999E+01, 1.74329E+01, 4.53478E+00
 5.65989E+01, 2.36546E+01, 4.92196E+00
 5.68980E+01, 2.21947E+01, 4.61486E+00
 5.71970E+01, 1.67562E+01, 3.61596E+00
 5.74960E+01, 1.28622E+01, 3.94388E+00
 5.77951E+01, 1.57361E+01, 3.57384E+00
 5.80941E+01, 1.52474E+01, 4.18685E+00
 5.83931E+01, 1.62893E+01, 4.49472E+00
 5.86922E+01, 2.20966E+01, 4.82947E+00
 5.89912E+01, 2.18691E+01, 4.22989E+00
 5.92903E+01, 1.41379E+01, 3.99563E+00
 5.95893E+01, 1.51114E+01, 3.68482E+00
 5.98883E+01, 1.43620E+01, 3.83191E+00
 6.01874E+01, 1.40664E+01, 4.10440E+00
 6.04864E+01, 1.64622E+01, 3.70444E+00
 6.07855E+01, 1.53066E+01, 3.68181E+00
 6.10845E+01, 1.58374E+01, 4.51386E+00
 6.13835E+01, 1.77721E+01, 3.92464E+00
 6.16826E+01, 1.29138E+01, 3.51052E+00
 6.19816E+01, 1.33635E+01, 3.85811E+00
 6.22807E+01, 1.59232E+01, 3.86499E+00
 6.25797E+01, 1.11497E+01, 3.20408E+00
 6.28787E+01, 8.96189E+00, 2.98160E+00
 6.31778E+01, 1.38118E+01, 3.61448E+00
 6.34768E+01, 8.18839E+00, 3.04428E+00
 6.37758E+01, 4.84797E+00, 2.29368E+00
 6.40749E+01, 9.38982E+00, 2.66203E+00
 6.43739E+01, 7.11194E+00, 3.09612E+00
 6.46730E+01, 6.75489E+00, 2.68764E+00
 6.49720E+01, 7.68113E+00, 3.17261E+00
 6.52710E+01, 1.29682E+01, 3.40934E+00
 6.55701E+01, 9.39529E+00, 3.05999E+00
 6.58691E+01, 7.69747E+00, 2.87865E+00
 6.61682E+01, 4.91605E+00, 2.17827E+00
 6.64672E+01, 4.26590E+00, 2.12536E+00
 6.67662E+01, 4.16194E+00, 2.00183E+00
 6.70653E+01, 3.11230E+00, 1.71379E+00
 6.73643E+01, 3.74213E+00, 1.94455E+00
 6.76634E+01, 4.82803E+00, 2.30859E+00
 6.79624E+01, 7.41515E+00, 2.91971E+00
 6.82614E+01, 8.76484E+00, 2.89776E+00
 6.85605E+01, 6.31976E+00, 2.37085E+00
 6.88595E+01, 4.04999E+00, 2.24239E+00
 6.91586E+01, 5.71008E+00, 2.36206E+00
 6.94576E+01, 3.79248E+00, 1.58284E+00
 6.97566E+01, 1.66292E+00, 1.49351E+00
 7.00557E+01, 7.08471E+00, 2.83047E+00
 7.03547E+01, 5.45543E+00, 2.17230E+00
 7.06537E+01, 5.54127E+00, 2.64313E+00
 7.09528E+01, 9.74319E+00, 3.08882E+00
 7.12518E+01, 6.11607E+00, 2.04243E+00
 7.15509E+01, 1.95130E+00, 1.52209E+00
 7.18499E+01, 3.97701E+00, 2.10938E+00
 7.21489E+01, 4.74870E+00, 1.94647E+00
 7.24480E+01, 3.80889E+00, 1.78120E+00
 7.27470E+01, 2.83535E+00, 1.66443E+00
 7.30461E+01, 2.57628E+00, 1.72652E+00
 7.33451E+01, 2.86806E+00, 1.56074E+00
 7.36441E+01, 2.12121E+00, 1.89067E+00
 7.39432E+01, 4.02014E+00, 1.81595E+00
 7.42422E+01, 4.87886E+00, 2.32316E+00
 7.45413E+01, 2.42255E+00, 8.78772E-01
 7.48403E+01, 1.51615E+00, 1.45030E+00
 7.51393E+01, 3.23976E+00, 1.61761E+00
 7.54384E+01, 2.09840E+00, 1.39175E+00
 7.57374E+01, 1.17936E+00, 1.00382E+00
 7.60365E+01, 2.18897E+00, 1.43492E+00
 7.63355E+01, 2.22039E+00, 1.39708E+00
 7.66345E+01, 6.30637E-01, 7.38006E-01
 7.69336E+01, 9.88579E-01, 1.35736E+00
 7.72326E+01, 2.82866E+00, 1.93906E+00
 7.75316E+01, 3.72382E+00, 1.70950E+00
 7.78307E+01, 3.30153E+00, 1.56464E+00
 7.81297E+01, 2.17795E+00, 1.73479E+00
 7.84288E+01, 3.07260E+00, 1.68075E+00
 7.87278E+01, 2.89517E+00, 1.57643E+00
 7.90268E+01, 7.21366E-01, 0.00000E+00
 7.93259E+01, 2.66815E-01, 5.58958E-01
 7.96249E+01, 7.03692E-01, 8.26501E-01
 7.99240E+01, 7.72286E-02, 0.00000E+00
 8.02230E+01, 4.67042E-01, 7.55846E-01
 8.05220E+01, 1.83819E+00, 1.50192E+00
 8.08211E+01, 2.29931E+00, 1.68531E+00
 8.11201E+01, 3.06366E+00, 1.47202E+00
 8.14192E+01, 9.07701E-01, 7.65178E-01
 8.17182E+01, 4.09083E-01, 7.52420E-01
 8.20172E+01, 2.64571E+00, 2.01736E+00
 8.23163E+01, 2.47485E+00, 8.63859E-01
 8.26153E+01, 1.30066E+00, 1.15227E+00
 8.29143E+01, 2.26686E+00, 1.42350E+00
 8.32134E+01, 1.39592E-01, 0.00000E+00
 8.35124E+01, 1.44107E-01, 3.49338E-01
 8.38115E+01, 7.55534E-01, 7.99294E-01
 8.41105E+01, 2.52203E-01, 5.18822E-01
 8.44095E+01, 7.28453E-01, 8.39223E-01
 8.47086E+01, 7.28512E-02, 0.00000E+00
 8.50076E+01, 0.00000E+00, 0.00000E+00
 8.53067E+01, 5.42620E-01, 8.22343E-01
 8.56057E+01, 3.68947E+00, 2.18650E+00
 8.59047E+01, 2.09021E+00, 8.25148E-01
 8.62038E+01, 2.55742E-01, 5.13034E-01
 8.65028E+01, 1.62556E+00, 1.45726E+00
 8.68019E+01, 1.39157E+00, 1.16626E+00
 8.71009E+01, 2.00329E+00, 1.16021E+00
 8.73999E+01, 4.32331E-02, 1.91267E-01
 8.76990E+01, 7.85847E-01, 8.14328E-01
 8.79980E+01, 0.00000E+00, 0.00000E+00
 8.82971E+01, 0.00000E+00, 0.00000E+00
 8.85961E+01, 0.00000E+00, 0.00000E+00
 8.88951E+01, 0.00000E+00, 0.00000E+00
 8.91942E+01, 0.00000E+00, 0.00000E+00
 8.94932E+01, 0.00000E+00, 0.00000E+00
 8.97922E+01, 2.56852E-02, 2.58723E-01
 9.00913E+01, 6.16546E-01, 1.22450E+00
 9.03903E+01, 8.70989E-01, 1.21131E+00
 9.06894E+01, 1.35132E+00, 1.23412E+00
 9.09884E+01, 2.52914E+00, 1.49850E+00
 9.12874E+01, 8.93385E-01, 2.67692E-01
 9.15865E+01, 1.28085E+00, 1.22309E+00
 9.18855E+01, 1.61817E+00, 1.15513E+00
 9.21846E+01, 1.38652E-01, 3.96767E-01
 9.24836E+01, 1.65726E+00, 1.26980E+00
 9.27826E+01, 1.46159E-01, 2.14345E-01
 9.30817E+01, 1.20624E+00, 1.48687E+00
 9.33807E+01, 1.01275E+00, 4.21456E-01
 9.36798E+01, 1.68004E-02, 0.00000E+00
 9.39788E+01, 3.41842E-01, 1.12750E+00
 9.42778E+01, 2.69340E+00, 1.68196E+00
 9.45769E+01, 1.20197E+00, 5.72561E-01
 9.48759E+01, 1.72120E+00, 1.21808E+00
 9.51749E+01, 9.20607E-02, 2.34934E-01
 9.54740E+01, 8.46906E-01, 9.08279E-01
 9.57730E+01, 1.12666E-01, 2.72696E-01
 9.60721E+01, 8.52244E-01, 9.39866E-01
 9.63711E+01, 2.51294E-01, 1.18607E+00
 9.66701E+01, 1.08883E+00, 0.00000E+00
 9.69692E+01, 3.05417E-02, 1.61101E-01
 9.72682E+01, 1.74194E+00, 1.43587E+00
 9.75673E+01, 4.56931E-01, 4.04280E-01
 9.78663E+01, 3.42131E-02, 0.00000E+00
 9.81653E+01, 1.69088E+00, 1.42255E+00
 9.84644E+01, 4.70167E-01, 3.63460E-01
 9.87634E+01, 2.89262E-02, 0.00000E+00
 9.90625E+01, 1.47013E-01, 3.82617E-01
 9.93615E+01, 7.50859E-01, 8.46119E-01
 9.96605E+01, 1.88980E+00, 1.72367E+00
 9.99596E+01, 5.51786E+00, 3.19014E+00
 1.00259E+02, 3.82633E+00, 2.91588E+00
 1.00558E+02, 2.56601E-02, 0.00000E+00
 1.00857E+02, 0.00000E+00, 0.00000E+00
 1.01156E+02, 4.59205E-01, 1.34298E+00
 1.01455E+02, 3.41245E+00, 3.58566E+00
 1.01754E+02, 6.93057E-02, 0.00000E+00
 1.02053E+02, 0.00000E+00, 0.00000E+00
 1.02352E+02, 0.00000E+00, 0.00000E+00
 1.02651E+02, 2.26378E-01, 9.47454E-01
 1.02950E+02, 3.51125E+00, 3.64506E+00
 1.03249E+02, 4.56278E-02, 0.00000E+00
 1.03548E+02, 1.18784E-01, 7.15085E-01
 1.03847E+02, 3.73201E+00, 3.76153E+00
 1.04146E+02, 0.00000E+00, 0.00000E+00
