Date of conversion : 10/30/16,Time of conversion : 15:29:20 -07:00
Fit function for dominant peak from file "mono.res",asymmetry factor :  1.00
,detailed imbalance,Chi^2,peak,FWHM,position,%background,input file
  ,ok,   1.62,3.35E+03,  0.99,  -0.221,   2.01,   scan112.raw
  ,??,   1.48,3.01E+03,  0.92,  -4.540,   2.37,   scan115.raw
  ,ok,   1.20,1.59E+03,  1.00,   0.674,   2.64,   scan118.raw
  , ?,   3.39,1.60E+03,  1.03,   0.669,   2.36,   scan119.raw

PHOENIX module padd; 10/30/16 at 15:29:20 -07:00
energy (meV),counts,error of counts
-7.01936E+01, 2.08559E+00, 1.17265E+00
-6.98946E+01, 1.09557E+00, 7.88295E-01
-6.95956E+01, 1.86239E+00, 1.51992E+00
-6.92965E+01, 1.19741E+00, 8.17737E-01
-6.89975E+01, 5.23819E-01, 0.00000E+00
-6.86984E+01, 0.00000E+00, 0.00000E+00
-6.83994E+01, 0.00000E+00, 0.00000E+00
-6.81004E+01, 1.94863E-01, 4.05366E-01
-6.78013E+01, 9.16726E-01, 8.79015E-01
-6.75023E+01, 6.18952E-01, 7.22108E-01
-6.72032E+01, 7.00414E-01, 1.59454E+00
-6.69042E+01, 1.77687E+00, 6.27861E-01
-6.66052E+01, 1.85787E-01, 2.75409E-01
-6.63061E+01, 5.80873E-01, 1.07564E+00
-6.60071E+01, 1.29367E+00, 9.06800E-01
-6.57081E+01, 3.81015E-01, 3.12231E-01
-6.54090E+01, 6.37913E-01, 9.67083E-01
-6.51100E+01, 1.72533E+00, 1.54280E+00
-6.48109E+01, 1.62177E+00, 9.09556E-01
-6.45119E+01, 5.70881E-01, 1.17805E+00
-6.42129E+01, 1.25296E+00, 1.19089E+00
-6.39138E+01, 1.19316E+00, 6.80669E-01
-6.36148E+01, 8.75264E-01, 1.00131E+00
-6.33157E+01, 1.38050E+00, 8.81941E-01
-6.30167E+01, 6.42910E-01, 8.20476E-01
-6.27177E+01, 4.31752E-01, 9.33980E-01
-6.24186E+01, 1.03247E+00, 8.38513E-01
-6.21196E+01, 2.12768E+00, 1.36031E+00
-6.18205E+01, 3.76591E+00, 2.04386E+00
-6.15215E+01, 1.87883E+00, 1.14182E+00
-6.12225E+01, 2.51180E+00, 1.53503E+00
-6.09234E+01, 3.01630E+00, 1.67777E+00
-6.06244E+01, 1.17666E+00, 9.29322E-01
-6.03254E+01, 1.10375E+00, 1.79239E+00
-6.00263E+01, 2.28281E+00, 1.74844E+00
-5.97273E+01, 1.04493E+00, 1.28731E+00
-5.94282E+01, 2.03654E+00, 1.24984E+00
-5.91292E+01, 3.47479E+00, 1.80769E+00
-5.88302E+01, 2.67244E+00, 1.77265E+00
-5.85311E+01, 2.15922E+00, 1.64738E+00
-5.82321E+01, 2.65586E+00, 1.51447E+00
-5.79330E+01, 1.04556E+00, 1.13316E+00
