@page size 600,600
@view 0.12,0.1,0.97,0.93
@subtitle "PHOENIX module phox, 10/30/16 at 15:29:20 -07:00"
@xaxes scale Normal
@yaxes scale Normal
@xaxis label "energy (meV)"
@yaxis label "normalized data (1/eV)"
@s0 errorbar size 0.0
@type xydy
 -6.78106E+01  4.17285E-03  1.00230E-02
 -6.75115E+01  1.19473E-03  1.00230E-02
 -6.72125E+01  2.00560E-03  1.00230E-02
 -6.69135E+01  1.27941E-02  1.33588E-02
 -6.66144E+01 -3.14090E-03  1.00249E-02
 -6.63154E+01  8.03944E-04  1.00230E-02
 -6.60163E+01  7.95284E-03  1.13994E-02
 -6.57173E+01 -1.18825E-03  1.00237E-02
 -6.54183E+01  1.37756E-03  1.00230E-02
 -6.51192E+01  1.22766E-02  1.31641E-02
 -6.48202E+01  1.12480E-02  1.27645E-02
 -6.45211E+01  7.15300E-04  1.00248E-02
 -6.42221E+01  7.54288E-03  1.12189E-02
 -6.39231E+01  6.94955E-03  1.09485E-02
 -6.36240E+01  3.76219E-03  1.00235E-02
 -6.33250E+01  8.82242E-03  1.17754E-02
 -6.30260E+01  1.43773E-03  1.00241E-02
 -6.27269E+01 -6.84609E-04  1.00230E-02
 -6.24279E+01  5.33088E-03  1.01844E-02
 -6.21288E+01  1.63072E-02  1.46182E-02
 -6.18298E+01  3.27278E-02  1.94476E-02
 -6.15308E+01  1.38328E-02  1.37427E-02
 -6.12317E+01  2.01586E-02  1.58842E-02
 -6.09327E+01  2.52217E-02  1.74065E-02
 -6.06336E+01  6.79288E-03  1.08770E-02
 -6.03346E+01  6.04863E-03  1.05303E-02
 -6.00356E+01  1.78637E-02  1.51414E-02
 -5.97365E+01  5.46803E-03  1.02486E-02
 -5.94375E+01  1.53894E-02  1.43012E-02
 -5.91384E+01  2.98109E-02  1.86816E-02
 -5.88394E+01  2.17799E-02  1.63863E-02
 -5.85404E+01  1.66316E-02  1.47292E-02
 -5.82413E+01  2.16072E-02  1.63336E-02
 -5.79423E+01  5.47905E-03  1.02543E-02
 -5.76432E+01  1.25966E-02  1.32870E-02
 -5.73442E+01  3.65745E-02  2.04153E-02
 -5.70452E+01  1.33054E-02  1.35481E-02
 -5.67461E+01  1.15364E-02  1.28819E-02
 -5.64471E+01  5.27094E-02  2.40522E-02
 -5.61481E+01  3.33612E-02  1.96095E-02
 -5.58490E+01  2.07176E-02  1.60593E-02
 -5.55500E+01  1.53836E-02  1.42979E-02
 -5.52509E+01  8.88045E-03  1.18024E-02
 -5.49519E+01  4.68348E-02  2.27964E-02
 -5.46529E+01  5.10412E-02  2.37015E-02
 -5.43538E+01  5.20786E-02  2.39202E-02
 -5.40548E+01  2.27915E-02  1.66928E-02
 -5.37557E+01  1.20102E-02  1.30642E-02
 -5.34567E+01  2.91271E-02  1.84985E-02
 -5.31577E+01  3.93914E-02  2.10952E-02
 -5.28586E+01  2.89216E-02  1.84420E-02
 -5.25596E+01  3.47604E-02  1.99662E-02
 -5.22605E+01  3.33177E-02  1.95996E-02
 -5.19615E+01  1.56872E-02  1.44038E-02
 -5.16625E+01  1.88562E-02  1.54681E-02
 -5.13634E+01  2.32149E-02  1.68198E-02
 -5.10644E+01  1.99529E-02  1.58203E-02
 -5.07653E+01  5.99812E-02  2.55229E-02
 -5.04663E+01  5.45426E-02  2.44306E-02
 -5.01673E+01  3.99800E-02  2.12352E-02
 -4.98682E+01  2.30428E-02  1.67699E-02
 -4.95692E+01  4.13094E-02  2.15482E-02
 -4.92702E+01  5.14236E-02  2.37829E-02
 -4.89711E+01  5.24824E-02  2.40053E-02
 -4.86721E+01  5.45420E-02  2.44317E-02
 -4.83730E+01  5.72778E-02  2.49857E-02
 -4.80740E+01  2.79805E-02  1.81844E-02
 -4.77750E+01  2.36963E-02  1.69649E-02
 -4.74759E+01  3.96598E-02  2.11606E-02
 -4.71769E+01  6.02283E-02  2.55706E-02
 -4.68778E+01  4.82900E-02  2.31125E-02
 -4.65788E+01  2.76174E-02  1.80846E-02
 -4.62798E+01  2.57717E-02  1.75673E-02
 -4.59807E+01  5.08086E-02  2.36535E-02
 -4.56817E+01  5.08535E-02  2.36622E-02
 -4.53826E+01  5.42086E-02  2.43630E-02
 -4.50836E+01  4.79920E-02  2.30492E-02
 -4.47846E+01  6.19215E-02  2.59015E-02
 -4.44855E+01  6.45984E-02  2.64136E-02
 -4.41865E+01  5.92497E-02  2.53796E-02
 -4.38874E+01  8.07750E-02  2.93230E-02
 -4.35884E+01  7.47320E-02  2.82712E-02
 -4.32894E+01  8.49747E-02  3.00329E-02
 -4.29903E+01  1.03879E-01  3.30364E-02
 -4.26913E+01  1.06881E-01  3.34870E-02
 -4.23923E+01  5.28546E-02  2.40824E-02
 -4.20932E+01  3.23001E-02  1.93413E-02
 -4.17942E+01  7.68384E-02  2.86435E-02
 -4.14951E+01  9.49483E-02  3.16523E-02
 -4.11961E+01  1.15360E-01  3.47344E-02
 -4.08971E+01  1.26460E-01  3.62999E-02
 -4.05980E+01  1.05676E-01  3.33081E-02
 -4.02990E+01  1.21320E-01  3.55835E-02
 -3.99999E+01  7.98423E-02  2.91626E-02
 -3.97009E+01  7.08095E-02  2.75685E-02
 -3.94019E+01  9.47266E-02  3.16179E-02
 -3.91028E+01  9.57916E-02  3.17865E-02
 -3.88038E+01  1.44616E-01  3.87266E-02
 -3.85047E+01  1.62107E-01  4.09272E-02
 -3.82057E+01  2.07477E-01  4.61500E-02
 -3.79067E+01  2.65363E-01  5.20587E-02
 -3.76076E+01  3.98578E-01  6.36023E-02
 -3.73086E+01  5.09963E-01  7.18434E-02
 -3.70095E+01  5.65153E-01  7.55968E-02
 -3.67105E+01  7.53000E-01  8.71647E-02
 -3.64115E+01  9.17245E-01  9.61445E-02
 -3.61124E+01  1.07214E+00  1.03905E-01
 -3.58134E+01  1.16841E+00  1.08449E-01
 -3.55144E+01  1.22927E+00  1.11224E-01
 -3.52153E+01  1.02361E+00  1.01537E-01
 -3.49163E+01  1.00641E+00  1.00687E-01
 -3.46172E+01  1.07069E+00  1.03834E-01
 -3.43182E+01  8.85304E-01  9.44644E-02
 -3.40192E+01  8.06066E-01  9.01656E-02
 -3.37201E+01  8.72596E-01  9.37879E-02
 -3.34211E+01  6.89818E-01  8.34515E-02
 -3.31220E+01  6.73255E-01  8.24528E-02
 -3.28230E+01  6.22237E-01  7.92905E-02
 -3.25240E+01  6.50762E-01  8.10744E-02
 -3.22249E+01  7.35018E-01  8.61240E-02
 -3.19259E+01  7.66983E-01  8.79635E-02
 -3.16268E+01  7.66678E-01  8.79478E-02
 -3.13278E+01  8.98826E-01  9.51795E-02
 -3.10288E+01  8.38672E-01  9.19572E-02
 -3.07297E+01  8.78126E-01  9.40848E-02
 -3.04307E+01  9.98953E-01  1.00314E-01
 -3.01316E+01  1.08931E+00  1.04729E-01
 -2.98326E+01  1.11435E+00  1.05921E-01
 -2.95336E+01  1.13230E+00  1.06767E-01
 -2.92345E+01  1.06843E+00  1.03727E-01
 -2.89355E+01  1.11770E+00  1.06081E-01
 -2.86365E+01  1.35105E+00  1.16585E-01
 -2.83374E+01  1.54459E+00  1.24625E-01
 -2.80384E+01  1.53340E+00  1.24174E-01
 -2.77393E+01  1.42181E+00  1.19587E-01
 -2.74403E+01  1.33568E+00  1.15923E-01
 -2.71413E+01  1.56868E+00  1.25593E-01
 -2.68422E+01  1.69952E+00  1.30707E-01
 -2.65432E+01  1.65377E+00  1.28942E-01
 -2.62441E+01  1.86549E+00  1.36923E-01
 -2.59451E+01  1.75088E+00  1.32661E-01
 -2.56461E+01  1.56393E+00  1.25402E-01
 -2.53470E+01  1.57090E+00  1.25681E-01
 -2.50480E+01  1.70023E+00  1.30736E-01
 -2.47489E+01  1.74112E+00  1.32293E-01
 -2.44499E+01  1.72218E+00  1.31574E-01
 -2.41509E+01  1.84725E+00  1.36255E-01
 -2.38518E+01  1.94658E+00  1.39861E-01
 -2.35528E+01  2.32143E+00  1.52702E-01
 -2.32537E+01  2.46024E+00  1.57189E-01
 -2.29547E+01  2.23314E+00  1.49776E-01
 -2.26557E+01  2.18199E+00  1.48057E-01
 -2.23566E+01  2.28086E+00  1.51365E-01
 -2.20576E+01  2.32252E+00  1.52738E-01
 -2.17586E+01  2.38040E+00  1.54626E-01
 -2.14595E+01  2.47661E+00  1.57712E-01
 -2.11605E+01  2.30992E+00  1.52323E-01
 -2.08614E+01  2.29387E+00  1.51796E-01
 -2.05624E+01  2.45022E+00  1.56872E-01
 -2.02634E+01  2.36966E+00  1.54276E-01
 -1.99643E+01  2.32535E+00  1.52831E-01
 -1.96653E+01  2.22549E+00  1.49522E-01
 -1.93662E+01  2.33902E+00  1.53279E-01
 -1.90672E+01  2.34957E+00  1.53622E-01
 -1.87682E+01  1.98993E+00  1.41405E-01
 -1.84691E+01  1.97198E+00  1.40770E-01
 -1.81701E+01  2.07517E+00  1.44394E-01
 -1.78710E+01  2.04340E+00  1.43287E-01
 -1.75720E+01  2.05007E+00  1.43520E-01
 -1.72730E+01  1.91870E+00  1.38857E-01
 -1.69739E+01  1.81737E+00  1.35152E-01
 -1.66749E+01  1.92744E+00  1.39173E-01
 -1.63758E+01  1.84769E+00  1.36270E-01
 -1.60768E+01  1.89622E+00  1.38044E-01
 -1.57778E+01  1.90694E+00  1.38431E-01
 -1.54787E+01  1.73950E+00  1.32232E-01
