PHOENIX module padd; 10/30/16 at 15:29:20 -07:00
energy (meV),shifted spectra
-4.71676E+01, 1.35502E+00
-4.68686E+01, 2.19039E+00
-4.65696E+01, 1.09308E+00
-4.62705E+01, 1.49528E+00
-4.59715E+01, 3.14788E+00
-4.56724E+01, 7.29438E-01
-4.53734E+01, 1.81011E+00
-4.50744E+01, 2.65442E+00
-4.47753E+01, 2.80449E+00
-4.44763E+01, 3.01812E+00
-4.41772E+01, 1.70224E+00
-4.38782E+01, 1.78966E+00
-4.35792E+01, 1.10595E+00
-4.32801E+01, 2.54376E+00
-4.29811E+01, 3.69585E+00
-4.26820E+01, 4.51993E+00
-4.23830E+01, 1.03998E-01
-4.20840E+01, 1.24142E+00
-4.17849E+01, 3.66404E+00
-4.14859E+01, 1.41991E+00
-4.11869E+01, 2.08574E+00
-4.08878E+01, 3.31421E+00
-4.05888E+01, 3.04494E+00
-4.02897E+01, 4.85773E+00
-3.99907E+01, 3.70703E+00
-3.96917E+01, 2.14783E+00
-3.93926E+01, 1.13798E+00
-3.90936E+01, 2.96467E+00
-3.87945E+01, 3.34044E+00
-3.84955E+01, 1.66667E+00
-3.81965E+01, 3.32744E+00
-3.78974E+01, 6.23359E+00
-3.75984E+01, 1.25963E+01
-3.72993E+01, 1.99663E+01
-3.70003E+01, 2.10177E+01
-3.67013E+01, 2.39270E+01
-3.64022E+01, 2.66996E+01
-3.61032E+01, 3.40178E+01
-3.58042E+01, 4.33371E+01
-3.55051E+01, 4.55346E+01
-3.52061E+01, 2.96299E+01
-3.49070E+01, 2.89913E+01
-3.46080E+01, 4.11962E+01
-3.43090E+01, 3.69396E+01
-3.40099E+01, 3.11882E+01
-3.37109E+01, 2.24243E+01
-3.34118E+01, 1.68470E+01
-3.31128E+01, 2.10784E+01
-3.28138E+01, 1.77679E+01
-3.25147E+01, 2.16432E+01
-3.22157E+01, 3.27995E+01
-3.19166E+01, 2.65545E+01
-3.16176E+01, 2.04631E+01
-3.13186E+01, 2.88963E+01
-3.10195E+01, 3.20064E+01
-3.07205E+01, 2.68941E+01
-3.04214E+01, 3.47522E+01
-3.01224E+01, 3.63931E+01
-2.98234E+01, 3.81936E+01
-2.95243E+01, 3.60360E+01
-2.92253E+01, 3.28618E+01
-2.89263E+01, 3.76318E+01
-2.86272E+01, 4.22079E+01
-2.83282E+01, 5.22535E+01
