@page size 600,600
@view 0.12,0.1,0.97,0.93
@subtitle "PHOENIX module phox, 10/30/16 at 15:29:20 -07:00"
@xaxes scale Normal
@yaxes scale Normal
@xaxis label "energy (meV)"
@yaxis label "data without elastic peak"
@s0 errorbar size 0.0
@type xydy
 -6.78106E+01  4.16326E-01  1.00000E+00
 -6.75115E+01  1.19198E-01  1.00000E+00
 -6.72125E+01  2.00099E-01  1.00000E+00
 -6.69135E+01  1.27647E+00  1.33281E+00
 -6.66144E+01 -3.13368E-01  1.00019E+00
 -6.63154E+01  8.02096E-02  1.00000E+00
 -6.60163E+01  7.93457E-01  1.13732E+00
 -6.57173E+01 -1.18552E-01  1.00006E+00
 -6.54183E+01  1.37440E-01  1.00000E+00
 -6.51192E+01  1.22484E+00  1.31338E+00
 -6.48202E+01  1.12222E+00  1.27352E+00
 -6.45211E+01  7.13656E-02  1.00018E+00
 -6.42221E+01  7.52554E-01  1.11931E+00
 -6.39231E+01  6.93358E-01  1.09234E+00
 -6.36240E+01  3.75354E-01  1.00005E+00
 -6.33250E+01  8.80215E-01  1.17483E+00
 -6.30260E+01  1.43443E-01  1.00011E+00
 -6.27269E+01 -6.83035E-02  1.00000E+00
 -6.24279E+01  5.31863E-01  1.01609E+00
 -6.21288E+01  1.62697E+00  1.45846E+00
 -6.18298E+01  3.26526E+00  1.94029E+00
 -6.15308E+01  1.38010E+00  1.37111E+00
 -6.12317E+01  2.01123E+00  1.58477E+00
 -6.09327E+01  2.51638E+00  1.73665E+00
 -6.06336E+01  6.77727E-01  1.08520E+00
 -6.03346E+01  6.03473E-01  1.05061E+00
 -6.00356E+01  1.78227E+00  1.51066E+00
 -5.97365E+01  5.45546E-01  1.02251E+00
 -5.94375E+01  1.53541E+00  1.42684E+00
 -5.91384E+01  2.97424E+00  1.86387E+00
 -5.88394E+01  2.17298E+00  1.63486E+00
 -5.85404E+01  1.65934E+00  1.46954E+00
 -5.82413E+01  2.15575E+00  1.62961E+00
 -5.79423E+01  5.46646E-01  1.02308E+00
 -5.76432E+01  1.25677E+00  1.32565E+00
 -5.73442E+01  3.64905E+00  2.03684E+00
 -5.70452E+01  1.32749E+00  1.35169E+00
 -5.67461E+01  1.15099E+00  1.28523E+00
 -5.64471E+01  5.25883E+00  2.39969E+00
 -5.61481E+01  3.32846E+00  1.95644E+00
 -5.58490E+01  2.06700E+00  1.60224E+00
 -5.55500E+01  1.53483E+00  1.42651E+00
 -5.52509E+01  8.86004E-01  1.17753E+00
 -5.49519E+01  4.67271E+00  2.27440E+00
 -5.46529E+01  5.09239E+00  2.36471E+00
 -5.43538E+01  5.19589E+00  2.38653E+00
 -5.40548E+01  2.27391E+00  1.66545E+00
 -5.37557E+01  1.19826E+00  1.30341E+00
 -5.34567E+01  2.90602E+00  1.84560E+00
 -5.31577E+01  3.93009E+00  2.10468E+00
 -5.28586E+01  2.88551E+00  1.83996E+00
 -5.25596E+01  3.46805E+00  1.99203E+00
 -5.22605E+01  3.32411E+00  1.95545E+00
 -5.19615E+01  1.56511E+00  1.43707E+00
 -5.16625E+01  1.88129E+00  1.54325E+00
 -5.13634E+01  2.31615E+00  1.67812E+00
 -5.10644E+01  1.99071E+00  1.57839E+00
 -5.07653E+01  5.98434E+00  2.54643E+00
 -5.04663E+01  5.44172E+00  2.43744E+00
 -5.01673E+01  3.98881E+00  2.11864E+00
 -4.98682E+01  2.29898E+00  1.67314E+00
 -4.95692E+01  4.12145E+00  2.14987E+00
 -4.92702E+01  5.13054E+00  2.37282E+00
 -4.89711E+01  5.23618E+00  2.39501E+00
 -4.86721E+01  5.44167E+00  2.43756E+00
 -4.83730E+01  5.71462E+00  2.49283E+00
 -4.80740E+01  2.79162E+00  1.81426E+00
 -4.77750E+01  2.36418E+00  1.69259E+00
 -4.74759E+01  3.95687E+00  2.11120E+00
