@page size 600,600
@view 0.12,0.1,0.97,0.93
@subtitle "PHOENIX module phox, 10/30/16 at 15:29:20 -07:00"
@xaxes scale Normal
@yaxes scale Normal
@xaxis label "energy (meV)"
@yaxis label "two-phonon contribution (1/eV)"
@type xy
 -5.20328E+01  2.85506E-02
 -5.17338E+01  2.74484E-02
 -5.14347E+01  2.91849E-02
 -5.11357E+01  3.01573E-02
 -5.08367E+01  2.93284E-02
 -5.05376E+01  3.09408E-02
 -5.02386E+01  3.22578E-02
 -4.99395E+01  3.14984E-02
 -4.96405E+01  3.30609E-02
 -4.93415E+01  3.41098E-02
 -4.90424E+01  3.32068E-02
 -4.87434E+01  3.50978E-02
 -4.84443E+01  3.53100E-02
 -4.81453E+01  3.58099E-02
 -4.78463E+01  3.68559E-02
 -4.75472E+01  3.74566E-02
 -4.72482E+01  3.80773E-02
 -4.69491E+01  3.84408E-02
 -4.66501E+01  3.97728E-02
 -4.63511E+01  4.00814E-02
 -4.60520E+01  4.06692E-02
 -4.57530E+01  4.18232E-02
 -4.54539E+01  4.11712E-02
 -4.51549E+01  4.35040E-02
 -4.48559E+01  4.27354E-02
 -4.45568E+01  4.38619E-02
 -4.42578E+01  4.43902E-02
 -4.39588E+01  4.52487E-02
 -4.36597E+01  4.55353E-02
 -4.33607E+01  4.58408E-02
 -4.30616E+01  4.73898E-02
 -4.27626E+01  4.71407E-02
 -4.24636E+01  4.81237E-02
 -4.21645E+01  4.84763E-02
 -4.18655E+01  4.91110E-02
 -4.15664E+01  4.98007E-02
 -4.12674E+01  4.98801E-02
 -4.09684E+01  5.10810E-02
 -4.06693E+01  5.15667E-02
 -4.03703E+01  5.09416E-02
 -4.00712E+01  5.25077E-02
 -3.97722E+01  5.32333E-02
 -3.94732E+01  5.21646E-02
 -3.91741E+01  5.44939E-02
 -3.88751E+01  5.34689E-02
 -3.85760E+01  5.38798E-02
 -3.82770E+01  5.66623E-02
 -3.79780E+01  5.45636E-02
 -3.76789E+01  5.60996E-02
 -3.73799E+01  5.67488E-02
 -3.70809E+01  5.61050E-02
 -3.67818E+01  5.84937E-02
 -3.64828E+01  5.82189E-02
 -3.61837E+01  5.79443E-02
 -3.58847E+01  5.95123E-02
 -3.55857E+01  5.94632E-02
 -3.52866E+01  6.08465E-02
 -3.49876E+01  6.08216E-02
 -3.46885E+01  6.14298E-02
 -3.43895E+01  6.15692E-02
 -3.40905E+01  6.30048E-02
 -3.37914E+01  6.32078E-02
 -3.34924E+01  6.36647E-02
 -3.31933E+01  6.52461E-02
 -3.28943E+01  6.42774E-02
 -3.25953E+01  6.61007E-02
 -3.22962E+01  6.70647E-02
 -3.19972E+01  6.60160E-02
 -3.16981E+01  6.83218E-02
 -3.13991E+01  6.84798E-02
 -3.11001E+01  6.88683E-02
 -3.08010E+01  7.02669E-02
 -3.05020E+01  7.09518E-02
 -3.02030E+01  7.00851E-02
 -2.99039E+01  7.33110E-02
 -2.96049E+01  7.28213E-02
 -2.93058E+01  7.32202E-02
 -2.90068E+01  7.50571E-02
 -2.87078E+01  7.53801E-02
 -2.84087E+01  7.66361E-02
 -2.81097E+01  7.61410E-02
 -2.78106E+01  7.91083E-02
 -2.75116E+01  7.95032E-02
 -2.72126E+01  7.76538E-02
 -2.69135E+01  8.23790E-02
 -2.66145E+01  8.03915E-02
 -2.63154E+01  8.22312E-02
 -2.60164E+01  8.39115E-02
 -2.57174E+01  8.30635E-02
 -2.54183E+01  8.62624E-02
 -2.51193E+01  8.63169E-02
 -2.48202E+01  8.52817E-02
 -2.45212E+01  8.90742E-02
 -2.42222E+01  8.80725E-02
 -2.39231E+01  9.02273E-02
 -2.36241E+01  9.20140E-02
 -2.33251E+01  9.03079E-02
 -2.30260E+01  9.37714E-02
 -2.27270E+01  9.41356E-02
 -2.24279E+01  9.39504E-02
 -2.21289E+01  9.74652E-02
 -2.18299E+01  9.65515E-02
 -2.15308E+01  9.82706E-02
 -2.12318E+01  1.00503E-01
 -2.09327E+01  9.97602E-02
 -2.06337E+01  1.03284E-01
 -2.03347E+01  1.03313E-01
 -2.00356E+01  1.03750E-01
 -1.97366E+01  1.06895E-01
 -1.94375E+01  1.07347E-01
 -1.91385E+01  1.08225E-01
 -1.88395E+01  1.10311E-01
 -1.85404E+01  1.12233E-01
 -1.82414E+01  1.13619E-01
 -1.79423E+01  1.14476E-01
 -1.76433E+01  1.17418E-01
 -1.73443E+01  1.18742E-01
 -1.70452E+01  1.20945E-01
 -1.67462E+01  1.22465E-01
 -1.64472E+01  1.25747E-01
 -1.61481E+01  1.26234E-01
 -1.58491E+01  1.29677E-01
 -1.55500E+01  1.30543E-01
 -1.52510E+01  1.32664E-01
 -1.49520E+01  1.36869E-01
 -1.46529E+01  1.34896E-01
 -1.43539E+01  1.39713E-01
 -1.40548E+01  1.41028E-01
 -1.37558E+01  1.42272E-01
 -1.34568E+01  1.43782E-01
 -1.31577E+01  1.47113E-01
 -1.28587E+01  1.48518E-01
 -1.25596E+01  1.48707E-01
 -1.22606E+01  1.53668E-01
 -1.19616E+01  1.51881E-01
 -1.16625E+01  1.54717E-01
 -1.13635E+01  1.59037E-01
 -1.10644E+01  1.55187E-01
 -1.07654E+01  1.63504E-01
 -1.04664E+01  1.60832E-01
 -1.01673E+01  1.64280E-01
 -9.86829E+00  1.69860E-01
 -9.56925E+00  1.64545E-01
 -9.27021E+00  1.75457E-01
 -8.97117E+00  1.73947E-01
 -8.67213E+00  1.74625E-01
 -8.37310E+00  1.81270E-01
 -8.07406E+00  1.78494E-01
 -7.77502E+00  1.84781E-01
 -7.47598E+00  1.86630E-01
 -7.17694E+00  1.86046E-01
 -6.87790E+00  1.92452E-01
 -6.57886E+00  1.89533E-01
 -6.27982E+00  1.95231E-01
 -5.98078E+00  1.96149E-01
 -5.68174E+00  1.96224E-01
 -5.38270E+00  2.02412E-01
 -5.08367E+00  2.01069E-01
 -4.78463E+00  2.03419E-01
 -4.48559E+00  2.08017E-01
 -4.18655E+00  2.07328E-01
 -3.88751E+00  2.12941E-01
 -3.58847E+00  2.11865E-01
 -3.28943E+00  2.14806E-01
 -2.99039E+00  2.18330E-01
 -2.69135E+00  2.20219E-01
 -2.39231E+00  2.22447E-01
 -2.09327E+00  2.24922E-01
 -1.79423E+00  2.28870E-01
 -1.49520E+00  2.27884E-01
 -1.19616E+00  2.34063E-01
 -8.97117E-01  2.36947E-01
 -5.98078E-01  2.34527E-01
 -2.99039E-01  2.42048E-01
  0.00000E+00  2.40399E-01
  2.99039E-01  2.44452E-01
  5.98078E-01  2.42841E-01
  8.97117E-01  2.42742E-01
  1.19616E+00  2.45707E-01
  1.49520E+00  2.44853E-01
  1.79423E+00  2.43835E-01
  2.09327E+00  2.45589E-01
  2.39231E+00  2.42718E-01
  2.69135E+00  2.45756E-01
  2.99039E+00  2.43046E-01
  3.28943E+00  2.46381E-01
  3.58847E+00  2.43828E-01
  3.88751E+00  2.43148E-01
  4.18655E+00  2.46450E-01
  4.48559E+00  2.44415E-01
  4.78463E+00  2.45915E-01
  5.08367E+00  2.46710E-01
  5.38270E+00  2.44715E-01
  5.68174E+00  2.47319E-01
  5.98078E+00  2.47735E-01
  6.27982E+00  2.45603E-01
  6.57886E+00  2.47359E-01
  6.87790E+00  2.48040E-01
  7.17694E+00  2.45021E-01
  7.47598E+00  2.50720E-01
  7.77502E+00  2.46524E-01
  8.07406E+00  2.45678E-01
  8.37310E+00  2.49370E-01
  8.67213E+00  2.46650E-01
  8.97117E+00  2.45411E-01
  9.27021E+00  2.47967E-01
  9.56925E+00  2.45792E-01
  9.86829E+00  2.43613E-01
  1.01673E+01  2.47598E-01
  1.04664E+01  2.43564E-01
  1.07654E+01  2.45688E-01
  1.10644E+01  2.43944E-01
  1.13635E+01  2.42686E-01
  1.16625E+01  2.47443E-01
  1.19616E+01  2.41604E-01
  1.22606E+01  2.46261E-01
  1.25596E+01  2.45046E-01
  1.28587E+01  2.41900E-01
  1.31577E+01  2.47440E-01
  1.34568E+01  2.42156E-01
  1.37558E+01  2.44056E-01
  1.40548E+01  2.44431E-01
  1.43539E+01  2.41660E-01
  1.46529E+01  2.43014E-01
  1.49520E+01  2.42525E-01
  1.52510E+01  2.40601E-01
  1.55500E+01  2.39536E-01
  1.58491E+01  2.41467E-01
  1.61481E+01  2.37179E-01
  1.64472E+01  2.38692E-01
  1.67462E+01  2.37290E-01
  1.70452E+01  2.36078E-01
  1.73443E+01  2.35455E-01
  1.76433E+01  2.33538E-01
  1.79423E+01  2.36453E-01
  1.82414E+01  2.30115E-01
  1.85404E+01  2.33007E-01
  1.88395E+01  2.34002E-01
  1.91385E+01  2.28328E-01
  1.94375E+01  2.31665E-01
  1.97366E+01  2.30453E-01
  2.00356E+01  2.29548E-01
  2.03347E+01  2.29795E-01
  2.06337E+01  2.27085E-01
  2.09327E+01  2.29778E-01
  2.12318E+01  2.28410E-01
  2.15308E+01  2.27716E-01
  2.18299E+01  2.29149E-01
  2.21289E+01  2.26843E-01
  2.24279E+01  2.28450E-01
  2.27270E+01  2.26537E-01
  2.30260E+01  2.27370E-01
  2.33251E+01  2.26557E-01
  2.36241E+01  2.27889E-01
  2.39231E+01  2.27975E-01
  2.42222E+01  2.24656E-01
  2.45212E+01  2.29893E-01
  2.48202E+01  2.25043E-01
  2.51193E+01  2.27425E-01
  2.54183E+01  2.29494E-01
  2.57174E+01  2.25025E-01
  2.60164E+01  2.30127E-01
  2.63154E+01  2.26470E-01
  2.66145E+01  2.28270E-01
  2.69135E+01  2.30640E-01
  2.72126E+01  2.25763E-01
  2.75116E+01  2.29676E-01
  2.78106E+01  2.29847E-01
  2.81097E+01  2.27094E-01
  2.84087E+01  2.30161E-01
  2.87078E+01  2.28652E-01
  2.90068E+01  2.30734E-01
  2.93058E+01  2.31291E-01
  2.96049E+01  2.28497E-01
  2.99039E+01  2.32253E-01
  3.02030E+01  2.32667E-01
  3.05020E+01  2.30677E-01
  3.08010E+01  2.32490E-01
  3.11001E+01  2.34205E-01
  3.13991E+01  2.31241E-01
  3.16981E+01  2.33454E-01
  3.19972E+01  2.33708E-01
  3.22962E+01  2.31667E-01
  3.25953E+01  2.35451E-01
  3.28943E+01  2.31794E-01
  3.31933E+01  2.35917E-01
  3.34924E+01  2.35472E-01
  3.37914E+01  2.32871E-01
  3.40905E+01  2.38862E-01
  3.43895E+01  2.33731E-01
  3.46885E+01  2.38522E-01
  3.49876E+01  2.36071E-01
  3.52866E+01  2.36857E-01
  3.55857E+01  2.39867E-01
  3.58847E+01  2.37042E-01
  3.61837E+01  2.40938E-01
  3.64828E+01  2.39957E-01
  3.67818E+01  2.38135E-01
  3.70809E+01  2.43602E-01
  3.73799E+01  2.40561E-01
  3.76789E+01  2.42949E-01
  3.79780E+01  2.42306E-01
  3.82770E+01  2.44477E-01
  3.85760E+01  2.45683E-01
  3.88751E+01  2.45222E-01
  3.91741E+01  2.46935E-01
  3.94732E+01  2.46256E-01
  3.97722E+01  2.47872E-01
  4.00712E+01  2.50103E-01
  4.03703E+01  2.49156E-01
  4.06693E+01  2.49450E-01
  4.09684E+01  2.49917E-01
  4.12674E+01  2.52663E-01
  4.15664E+01  2.52830E-01
  4.18655E+01  2.50753E-01
  4.21645E+01  2.54064E-01
  4.24636E+01  2.52789E-01
  4.27626E+01  2.53887E-01
  4.30616E+01  2.54095E-01
  4.33607E+01  2.51423E-01
  4.36597E+01  2.54218E-01
  4.39588E+01  2.50314E-01
  4.42578E+01  2.51228E-01
  4.45568E+01  2.51547E-01
  4.48559E+01  2.48430E-01
  4.51549E+01  2.48289E-01
  4.54539E+01  2.49283E-01
  4.57530E+01  2.46671E-01
  4.60520E+01  2.46635E-01
  4.63511E+01  2.44516E-01
  4.66501E+01  2.44325E-01
  4.69491E+01  2.43725E-01
  4.72482E+01  2.39657E-01
  4.75472E+01  2.41736E-01
  4.78463E+01  2.37700E-01
  4.81453E+01  2.35950E-01
  4.84443E+01  2.35089E-01
  4.87434E+01  2.33512E-01
  4.90424E+01  2.32032E-01
  4.93415E+01  2.28375E-01
  4.96405E+01  2.28689E-01
  4.99395E+01  2.24011E-01
  5.02386E+01  2.23620E-01
  5.05376E+01  2.22094E-01
  5.08367E+01  2.17175E-01
  5.11357E+01  2.17529E-01
  5.14347E+01  2.10801E-01
  5.17338E+01  2.13827E-01
  5.20328E+01  2.06836E-01
  5.23318E+01  2.07064E-01
  5.26309E+01  2.04796E-01
  5.29299E+01  1.99754E-01
  5.32290E+01  2.01546E-01
  5.35280E+01  1.98297E-01
  5.38270E+01  1.94905E-01
  5.41261E+01  1.95432E-01
  5.44251E+01  1.92948E-01
  5.47242E+01  1.92709E-01
  5.50232E+01  1.90565E-01
  5.53222E+01  1.86962E-01
  5.56213E+01  1.85198E-01
  5.59203E+01  1.84510E-01
  5.62194E+01  1.80953E-01
  5.65184E+01  1.76119E-01
  5.68174E+01  1.75732E-01
  5.71165E+01  1.70630E-01
  5.74155E+01  1.67112E-01
  5.77146E+01  1.64895E-01
  5.80136E+01  1.59733E-01
  5.83126E+01  1.55332E-01
  5.86117E+01  1.51398E-01
  5.89107E+01  1.47204E-01
  5.92097E+01  1.42643E-01
  5.95088E+01  1.36565E-01
  5.98078E+01  1.33547E-01
  6.01069E+01  1.27577E-01
  6.04059E+01  1.22652E-01
  6.07049E+01  1.19889E-01
  6.10040E+01  1.14163E-01
  6.13030E+01  1.12961E-01
  6.16021E+01  1.06749E-01
  6.19011E+01  1.05743E-01
  6.22001E+01  1.01857E-01
  6.24992E+01  9.84976E-02
  6.27982E+01  9.65900E-02
  6.30973E+01  9.21302E-02
  6.33963E+01  8.98632E-02
  6.36953E+01  8.71268E-02
  6.39944E+01  8.26024E-02
  6.42934E+01  8.03483E-02
  6.45925E+01  7.58899E-02
  6.48915E+01  7.35754E-02
  6.51905E+01  6.84993E-02
  6.54896E+01  6.62350E-02
  6.57886E+01  6.26210E-02
  6.60876E+01  5.88091E-02
  6.63867E+01  5.72627E-02
  6.66857E+01  5.37481E-02
  6.69848E+01  5.06806E-02
  6.72838E+01  5.05134E-02
  6.75828E+01  4.56769E-02
  6.78819E+01  4.52693E-02
  6.81809E+01  4.26917E-02
  6.84800E+01  4.23943E-02
  6.87790E+01  3.98804E-02
  6.90780E+01  3.88127E-02
  6.93771E+01  3.93843E-02
  6.96761E+01  3.63786E-02
  6.99752E+01  3.73788E-02
  7.02742E+01  3.68562E-02
  7.05732E+01  3.42553E-02
  7.08723E+01  3.66447E-02
  7.11713E+01  3.24515E-02
  7.14704E+01  3.43451E-02
  7.17694E+01  3.07100E-02
  7.20684E+01  2.98315E-02
  7.23675E+01  2.65119E-02
  7.26665E+01  2.58766E-02
  7.29655E+01  2.14411E-02
  7.32646E+01  1.98663E-02
  7.35636E+01  1.72018E-02
  7.38627E+01  1.41001E-02
  7.41617E+01  1.25290E-02
  7.44607E+01  1.01341E-02
  7.47598E+01  8.52541E-03
  7.50588E+01  7.50819E-03
  7.53579E+01  5.32985E-03
  7.56569E+01  5.24021E-03
  7.59559E+01  4.74012E-03
  7.62550E+01  3.64499E-03
  7.65540E+01  3.12959E-03
  7.68531E+01  3.60970E-03
  7.71521E+01  1.81581E-03
  7.74511E+01  2.90810E-03
  7.77502E+01  2.34593E-03
  7.80492E+01  9.02138E-04
  7.83483E+01  3.35325E-03
  7.86473E+01  5.36128E-04
  7.89463E+01  2.02189E-03
  7.92454E+01  1.88386E-03
  7.95444E+01  9.84322E-04
  7.98434E+01  1.60572E-03
  8.01425E+01  1.04389E-03
  8.04415E+01  1.16010E-03
  8.07406E+01  1.29643E-03
  8.10396E+01  5.66634E-04
  8.13386E+01  1.09224E-03
  8.16377E+01  6.45364E-04
  8.19367E+01  1.09413E-03
  8.22358E+01  4.90752E-04
  8.25348E+01  6.49695E-04
  8.28338E+01  1.00670E-04
  8.31329E+01  1.18148E-03
  8.34319E+01  1.54993E-04
  8.37310E+01  5.12159E-04
  8.40300E+01  1.37086E-03
  8.43290E+01 -2.85164E-04
  8.46281E+01  1.28308E-03
  8.49271E+01  1.18455E-03
  8.52262E+01  3.59439E-05
  8.55252E+01  1.34308E-03
  8.58242E+01  2.44089E-04
  8.61233E+01  2.99422E-04
  8.64223E+01  1.61841E-03
  8.67213E+01 -5.03498E-04
  8.70204E+01  7.68466E-04
  8.73194E+01  1.08799E-03
  8.76185E+01 -4.75978E-04
  8.79175E+01  1.42120E-03
  8.82165E+01  2.88074E-04
  8.85156E+01  4.60828E-04
  8.88146E+01  1.07027E-03
  8.91137E+01  6.79709E-05
  8.94127E+01  7.19010E-04
  8.97117E+01  5.86423E-04
  9.00108E+01 -6.80346E-05
  9.03098E+01  2.99419E-04
  9.06089E+01  5.31174E-04
  9.09079E+01 -2.84964E-04
  9.12069E+01  1.22099E-04
  9.15060E+01  5.31566E-05
  9.18050E+01  2.86479E-04
  9.21041E+01 -3.77032E-04
  9.24031E+01  1.43987E-04
  9.27021E+01 -4.01315E-05
  9.30012E+01 -2.49704E-04
  9.33002E+01 -1.12128E-04
  9.35992E+01  2.32643E-04
  9.38983E+01 -4.41929E-04
  9.41973E+01  3.28572E-04
  9.44964E+01  8.60458E-05
  9.47954E+01 -2.76670E-04
  9.50944E+01  1.70921E-04
  9.53935E+01  2.05642E-04
  9.56925E+01 -2.06897E-04
  9.59916E+01  2.05961E-04
  9.62906E+01  2.63608E-04
  9.65896E+01 -1.43523E-04
  9.68887E+01  6.95912E-04
  9.71877E+01 -2.05664E-04
  9.74868E+01  4.04726E-04
  9.77858E+01  5.50745E-04
  9.80848E+01 -6.68693E-04
  9.83839E+01  8.07472E-04
  9.86829E+01 -1.11122E-04
  9.89820E+01 -4.99804E-04
  9.92810E+01  8.34627E-04
  9.95800E+01 -8.87184E-04
  9.98791E+01  5.73411E-04
  1.00178E+02 -4.79256E-04
  1.00477E+02  4.30144E-05
  1.00776E+02  1.63253E-04
  1.01075E+02 -9.66803E-05
  1.01374E+02 -4.30025E-04
  1.01673E+02  6.15664E-04
  1.01972E+02 -4.82217E-04
  1.02271E+02  1.75289E-04
  1.02570E+02 -7.73266E-05
  1.02869E+02 -2.16617E-04
  1.03168E+02  9.89046E-05
  1.03468E+02 -1.44442E-04
  1.03767E+02  1.45234E-04
  1.04066E+02  9.78648E-05
