@page size 600,600
@view 0.12,0.1,0.97,0.93
@subtitle "PHOENIX module phox, 10/30/16 at 15:29:20 -07:00"
@xaxes scale Normal
@yaxes scale Normal
@xaxis label "energy (meV)"
@yaxis label "one-phonon contribution (1/eV)"
@type xy
 -1.02271E+02 -4.55608E-03
 -1.01972E+02 -5.42728E-03
 -1.01673E+02 -4.74249E-03
 -1.01374E+02 -5.09109E-03
 -1.01075E+02 -5.10461E-03
 -1.00776E+02 -4.72515E-03
 -1.00477E+02 -5.91993E-03
 -1.00178E+02  1.44057E-02
 -9.98791E+01  2.22952E-02
 -9.95800E+01  1.02942E-03
 -9.92810E+01 -5.76276E-03
 -9.89820E+01 -8.75460E-04
 -9.86829E+01  5.41451E-03
 -9.83839E+01 -3.31388E-03
 -9.80848E+01  2.87589E-03
 -9.77858E+01  5.20459E-03
 -9.74868E+01  4.04889E-03
 -9.71877E+01 -2.52011E-03
 -9.68887E+01 -2.10792E-03
 -9.65896E+01  1.13576E-02
 -9.62906E+01  7.70210E-03
 -9.59916E+01  5.62494E-03
 -9.56925E+01 -1.91893E-03
 -9.53935E+01 -6.07495E-03
 -9.50944E+01 -4.65466E-03
 -9.47954E+01 -5.09096E-03
 -9.44964E+01 -5.09592E-03
 -9.41973E+01  1.89021E-03
 -9.38983E+01 -2.03809E-04
 -9.35992E+01  2.88034E-03
 -9.33002E+01 -2.71410E-03
 -9.30012E+01 -5.66562E-03
 -9.27021E+01 -4.77340E-03
 -9.24031E+01 -4.24993E-03
 -9.21041E+01  3.32802E-03
 -9.18050E+01  4.00275E-03
 -9.15060E+01 -3.12368E-03
 -9.12069E+01 -5.31101E-03
 -9.09079E+01 -4.30686E-03
 -9.06089E+01  1.61953E-03
 -9.03098E+01 -2.56359E-03
 -9.00108E+01  1.69993E-03
 -8.97117E+01 -1.06950E-03
 -8.94127E+01 -5.53996E-03
 -8.91137E+01 -4.70558E-03
 -8.88146E+01 -5.35606E-03
 -8.85156E+01 -5.21726E-03
 -8.82165E+01 -4.75099E-03
 -8.79175E+01 -5.75087E-03
 -8.76185E+01 -4.51328E-03
 -8.73194E+01 -5.60301E-03
 -8.70204E+01 -4.67686E-03
